재야인사로	재야인사/NNG + 로/JKB
바꿨고,	바꾸/VV + 었/EP + 고/EC + ,/SP
대학	대학/NNG
시절	시절/NNG
신춘	신춘/NNG
문예	문예/NNG
소설	소설/NNG
부문에	부문/NNG + 에/JKB
당선됐던	당선/NNG + 되/XSV + 었/EP + 던/ETM
이색	이색/NNG
경력을	경력/NNG + 을/JKO
소유.	소유/NNG + ./SF

79년부터	79/SN + 년/NNB + 부터/JX
국토	국토/NNG
개발	개발/NNG
연구원에서	연구원/NNG + 에서/JKB
줄곧	줄곧/MAG
도시	도시/NNG
교통	교통/NNG
문제를	문제/NNG + 를/JKO
연구해	연구/NNG + 하/XSV + 아/EC
왔고	오/VX + 았/EP + 고/EC
자유	자유/NNG
분방한	분방/NNG + 하/XSA + ㄴ/ETM
성격.	성격/NNG + ./SF

▴	▴/SW
경기	경기/NNP
용인·48세	용인/NNP + ·/SP + 48/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
건축공학과	건축/NNG + 공학/NNG + 과/NNG
▴	▴/SW
미	미/NNP
노스웨스턴대	노스웨스턴대/NNP
도시계획학	도시/NNG + 계획학/NNG
박사	박사/NNG
▴	▴/SW
국토개발연구원	국토/NNG + 개발/NNG + 연구원/NNG
기획조정실장	기획/NNG + 조정/NNG + 실장/NNG

엔지니어	엔지니어/NNG
출신이면서도	출신/NNG + 이/VCP + 면서/EC + 도/JX
조직	조직/NNG
관리	관리/NNG
능력이	능력/NNG + 이/JKS
뛰어나다는	뛰어나/VA + 다는/ETM
평을	평/NNG + 을/JKO
받는	받/VV + 는/ETM
정보	정보/NNG
통신	통신/NNG
분야	분야/NNG
전문가.	전문가/NNG + ./SF

84년부터	84/SN + 년/NNB + 부터/JX
한국	한국/NNP
전자	전자/NNG
통신	통신/NNG
연구소	연구소/NNG
소장을	소장/NNG + 을/JKO
맡아	맡/VV + 아/EC
국산전전자교환기(TDX)	국산전전자교환기/NNG + (/SS + TDX/SL + )/SS
국산	국산/NNG
중형	중형/NNG
컴퓨터	컴퓨터/NNG
4메가디램	4/SN + 메가디램/NNG
등	등/NNB
정보	정보/NNG
통신	통신/NNG
기술	기술/NNG
개발을	개발/NNG + 을/JKO
주도했다.	주도/NNG + 하/XSV + 았/EP + 다/EF + ./SF

▴	▴/SW
서울·57세	서울/NNP + ·/SP + 57/SN + 세/NNB
▴	▴/SW
서울고	서울고/NNP
▴	▴/SW
MIT대	MIT/SL + 대/NNG
박사	박사/NNG
▴	▴/SW
한국	한국/NNP
전자	전자/NNG
통신	통신/NNG
연구소	연구소/NNG
소장	소장/NNG
▴	▴/SW
한국	한국/NNP
전산원	전산원/NNG
원장	원장/NNG

널리	널리/MAG
알려진	알리/VV + 어/EC + 지/VX + ㄴ/ETM
김영삼	김영삼/NNP
대통령의	대통령/NNG + 의/JKG
핵심	핵심/NNG
측근.	측근/NNG + ./SF

김덕용	김덕용/NNP
씨의	씨/NNB + 의/JKG
후임	후임/NNG
공보	공보/NNG
비서로	비서/NNG + 로/JKB
상도동	상도동/NNP
진영에	진영/NNG + 에/JKB
합류,	합류/NNG + ,/SP
20년	20/SN + 년/NNB
가까이	가까이/MAG
한눈	한눈/NNG
팔지	팔/VV + 지/EC
않고	않/VX + 고/EC
헌신해	헌신/NNG + 하/XSV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

설득력	설득력/NNG
있는	있/VV + 는/ETM
논리를	논리/NNG + 를/JKO
갖추었다는	갖추/VV + 었/EP + 다는/ETM
평.	평/NNG + ./SF

14대	14/SN + 대/NNB
대선	대선/NNG
성명전에서	성명전/NNG + 에서/JKB
많은	많/VA + 은/ETM
공을	공/NNG + 을/JKO
세웠다.	세우/VV + 었/EP + 다/EF + ./SF

▴	▴/SW
강원	강원/NNP
삼척·53	삼척/NNP + ·/SP + 53/SN
▴	▴/SW
경복고	경복고/NNP
▴	▴/SW
고려대	고려대/NNP
경제학과	경제학/NNG + 과/NNG
▴	▴/SW
민자당	민자당/NNP
서울	서울/NNP
강서갑지구당	강서갑지구당/NNP
위원장	위원장/NNG
▴	▴/SW
민자당	민자당/NNP
부대변인	부대변인/NNG

법무관으로	법무관/NNG + 으로/JKB
해군에	해군/NNG + 에/JKB
몸담고	몸담/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
87년	87/SN + 년/NNB
대통령	대통령/NNG
비서실	비서실/NNG
사정	사정/NNG
비서관으로	비서관/NNG + 으로/JKB
관계에	관계/NNG + 에/JKB
입문했다.	입문/NNG + 하/XSV + 았/EP + 다/EF + ./SF

매사에	매사/NNG + 에/JKB
꼼꼼하고	꼼꼼/MAG + 하/XSA + 고/EC
온화한	온화/XR + 하/XSA + ㄴ/ETM
성격에	성격/NNG + 에/JKB
업무	업무/NNG
스타일도	스타일/NNG + 도/JX
외유	외유/NNG
내강형.	내강/NNG + 형/XSN + ./SF

조달청	조달청/NNG
설립이래	설립/NNG + 이래/NNB
두	두/MM
번째로	번/NNB + 째/XSN + 로/JKB
내부	내부/NNG
승진하는	승진/NNG + 하/XSV + 는/ETM
영예를	영예/NNG + 를/JKO
안았다.	안/VV + 았/EP + 다/EF + ./SF

▴	▴/SW
서울·51세	서울/NNP + ·/SP + 51/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
▴	▴/SW
해군	해군/NNG
본부	본부/NNG
검찰부장-법무감	검찰/NNG + 부장/NNG + -/SS + 법무감/NNG
▴	▴/SW
대통령	대통령/NNG
사정비서관-민정비서관	사정/NNG + 비서관/NNG + -/SS + 민정/NNG + 비서관/NNG
▴	▴/SW
조달청	조달청/NNG
차장	차장/NNG

경북도청에서	경북도청/NNP + 에서/JKB
공무원	공무원/NNG
생활을	생활/NNG + 을/JKO
시작한	시작/NNG + 하/XSV + ㄴ/ETM
뒤	뒤/NNG
줄곧	줄곧/MAG
지방	지방/NNG
공무원으로	공무원/NNG + 으로/JKB
일했으며	일/NNG + 하/XSV + 았/EP + 으며/EC
내무부	내무부/NNG
주요	주요/NNG
요직을	요직/NNG + 을/JKO
거쳤다.	거치/VV + 었/EP + 다/EF + ./SF

내무부	내무부/NNG
차관보	차관보/NNG
때	때/NNG
지방	지방/NNG
자치제	자치/NNG + 제/XSN
실시	실시/NNG
등	등/NNB
굵직한	굵직/XR + 하/XSA + ㄴ/ETM
현안을	현안/NNG + 을/JKO
성공적으로	성공/NNG + 적/XSN + 으로/JKB
수행했다는	수행/NNG + 하/XSV + 았/EP + 다는/ETM
평.	평/NNG + ./SF

대범하고	대범/XR + 하/XSA + 고/EC
소탈한	소탈/NNG + 하/XSA + ㄴ/ETM
성격이나	성격/NNG + 이나/JC
일	일/NNG
처리에는	처리/NNG + 에/JKB + 는/JX
엄격.	엄격/XR + ./SF

▴	▴/SW
대구·59세	대구/NNP + ·/SP + 59/SN + 세/NNB
▴	▴/SW
대구	대구/NNP
대경상학부	대/NNG + 경상/NNG + 학부/NNG
▴	▴/SW
마산-춘천시장	마산/NNP + -/SS + 춘천시장/NNG
▴	▴/SW
내무부	내무부/NNG
기획관리실장-차관보	기획/NNG + 관리/NNG + 실장/NNG + -/SS + 차관보/NNG
▴	▴/SW
경북도지사	경북도지사/NNP

상공부의	상공/NNG + 부/NNG + 의/JKG
산업	산업/NNG
분야에서	분야/NNG + 에서/JKB
줄곧	줄곧/MAG
근무했으며	근무/NNG + 하/XSV + 았/EP + 으며/EC
보고서의	보고서/NNG + 의/JKG
가위질-풀질까지	가위/NNG + 질/XSN + -/SS + 풀/NNG + 질/XSN + 까지/JX
직접하는	직접/MAG + 하/VV + 는/ETM
치밀한	치밀/XR + 하/XSA + ㄴ/ETM
성격.	성격/NNG + ./SF

부하	부하/NNG
직원들을	직원/NNG + 들/XSN + 을/JKO
독려하는	독려/NNG + 하/XSV + 는/ETM
등	등/NNB
일	일/NNG
욕심이	욕심/NNG + 이/JKS
강하고	강하/VV + 고/EC
대학	대학/NNG
시절	시절/NNG
행정고시에	행정/NNG + 고시/NNG + 에/JKB
합격해	합격/NNG + 하/XSV + 아/EC
승진이	승진/NNG + 이/JKS
빠른	빠르/VA + ㄴ/ETM
편.	편/NNB + ./SF

▴	▴/SW
충북괴산·51세	충북/NNP + 괴산/NNP + ·/SP + 51/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
▴	▴/SW
상공부	상공/NNG + 부/NNG
산업	산업/NNG
정책	정책/NNG
국장	국장/NNG
▴	▴/SW
특허청	특허청/NNG
항고심판소장	항고/NNG + 심판/NNG + 소장/NNG
▴	▴/SW
대전	대전/NNP
엑스포	엑스포/NNG
조직위	조직위/NNG
사무	사무/NNG
차장	차장/NNG
▴	▴/SW
상공부	상공/NNG + 부/NNG
기획관리실장	기획/NNG + 관리/NNG + 실장/NNG

30여년	30/SN + 여/XSN + 년/NNB
간	간/NNB
주로	주로/MAG
철도청에서만	철도청/NNG + 에서/JKB + 만/JX
근무해	근무/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
철도청	철도청/NNG
터줏대감.	터줏대감/NNG + ./SF

예산과	예산/NNG + 과/JC
재정	재정/NNG
분야의	분야/NNG + 의/JKG
전문가로	전문가/NNG + 로/JKB
철도청의	철도청/NNG + 의/JKG
기업	기업/NNG
회계와	회계/NNG + 와/JC
예산	예산/NNG
제도	제도/NNG
기초	기초/NNG
확립에	확립/NNG + 에/JKB
기여했다.	기여/NNG + 하/XSV + 았/EP + 다/EF + ./SF

빠른	빠르/VA + ㄴ/ETM
두뇌	두뇌/NNG
회전으로	회전/NNG + 으로/JKB
업무	업무/NNG
처리에	처리/NNG + 에/JKB
빈틈이	빈틈/NNG + 이/JKS
없다는	없/VA + 다는/ETM
평.	평/NNG + ./SF

▴	▴/SW
서울·54세	서울/NNP + ·/SP + 54/SN + 세/NNB
▴	▴/SW
연세대	연세대/NNP
상대	상대/NNG
졸	졸/NNG
▴	▴/SW
순천-대전지방철도청장	순천/NNP + -/SS + 대전/NNP + 지방/NNG + 철도청장/NNG
▴	▴/SW
운수국장	운수국장/NNG
▴	▴/SW
기획관리관	기획/NNG + 관리관/NNG

'6·3세대'	'/SS + 6/SN + ·/SP + 3/SN + 세대/NNG + '/SS
핵심	핵심/NNG
멤버의	멤버/NNG + 의/JKG
한	한/MM
명.	명/NNB + ./SF

매사에	매사/NNG + 에/JKB
신중을	신중/NNG + 을/JKO
기하는	기하/VV + 는/ETM
성격이나	성격/NNG + 이/VCP + 나/EC
한	한/MM
번	번/NNB
결심하면	결심/NNG + 하/XSV + 면/EC
행동에	행동/NNG + 에/JKB
옮기는	옮기/VV + 는/ETM
기질.	기질/NNG + ./SF

80년	80/SN + 년/NNB
서울의	서울/NNP + 의/JKG
봄	봄/NNG
때	때/NNG
김영삼	김영삼/NNP
대통령과	대통령/NNG + 과/JKB
인연을	인연/NNG + 을/JKO
맺어	맺/VV + 어/EC
대선	대선/NNG
때	때/NNG
홍보대책	홍보/NNG + 대책/NNG
부위원장으로	부위원장/NNG + 으로/JKB
공헌.	공헌/NNG + ./SF

부인	부인/NNG
정명옥씨(44)와	정명옥/NNP + 씨/NNB + (/SS + 44/SN + )/SS + 와/JC
2남.	2/SN + 남/NNG + ./SF

▴	▴/SW
경북	경북/NNP
안동	안동/NNP
50세	50/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
정치학과	정치학/NNG + 과/NNG
수료	수료/NNG
▴	▴/SW
영남일보	영남일보/NNP
논설	논설/NNG
위원	위원/NNG
▴	▴/SW
통일	통일/NNG
민주당	민주당/NNP
당보주간	당보/NNG + 주간/NNG
▴	▴/SW
민자당	민자당/NNP
성동을	성동/NNP + 을/NNG
위원장	위원장/NNG

온화한	온화/XR + 하/XSA + ㄴ/ETM
성품이나	성품/NNG + 이나/JC
업무	업무/NNG
처리에는	처리/NNG + 에/JKB + 는/JX
빈틈이	빈틈/NNG + 이/JKS
없는	없/VA + 는/ETM
꼼꼼한	꼼꼼/MAG + 하/XSA + ㄴ/ETM
성격의	성격/NNG + 의/JKG
전통	전통/NNG
직업	직업/NNG
공무원.	공무원/NNG + ./SF

고등	고등/NNG
고시	고시/NNG
행정과(13회)	행정과/NNG + (/SS + 13/SN + 회/NNB + )/SS
출신으로	출신/NNG + 으로/JKB
정부	정부/NNG
합동민원실장	합동/NNG + 민원/NNG + 실장/NNG
등	등/NNB
총무처	총무처/NNG
내의	내/NNB + 의/JKG
주요	주요/NNG
요직을	요직/NNG + 을/JKO
두루	두루/MAG
거쳤다.	거치/VV + 었/EP + 다/EF + ./SF

서울	서울/NNP
근교로	근교/NNG + 로/JKB
등산을	등산/NNG + 을/JKO
가는	가/VV + 는/ETM
것이	것/NNB + 이/JKS
취미.	취미/NNG + ./SF

▴	▴/SW
전남	전남/NNP
보성출신,	보성/NNP + 출신/NNG + ,/SP
58세	58/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
▴	▴/SW
총무처	총무처/NNG
전자계산소장-총무국장-정부청사	전자/NNG + 계산/NNG + 소장/NNG + -/SS + 총무국장/NNG + -/SS + 정부/NNG + 청사/NNG
관리	관리/NNG
소장	소장/NNG
▴	▴/SW
소청	소청/NNG
심사	심사/NNG
위원장	위원장/NNG

30여년	30/SN + 여/XSN + 년/NNB
넘게	넘/VV + 게/EC
감사원에서	감사원/NNG + 에서/JKB
일한	일/NNG + 하/XSV + ㄴ/ETM
정통	정통/NNG
감사인.	감사인/NNG + ./SF

특히	특히/MAG
회계	회계/NNG
업무에	업무/NNG + 에/JKB
이론과	이론/NNG + 과/JC
실무에	실무/NNG + 에/JKB
능통하다는	능통/XR + 하/XSA + 다는/ETM
평.	평/NNG + ./SF

근면한데다	근면/NNG + 하/XSA + ㄴ데다/EC
소탈한	소탈/NNG + 하/XSA + ㄴ/ETM
성격으로	성격/NNG + 으로/JKB
거리감이	거리감/NNG + 이/JKS
없어	없/VA + 어/EC
따르는	따르/VV + 는/ETM
직원이	직원/NNG + 이/JKS
많다.	많/VA + 다/EF + ./SF

탁구가	탁구/NNG + 가/JKS
취미로	취미/NNG + 로/JKB
아마추어	아마추어/NNG
수준을	수준/NNG + 을/JKO
넘는다.	넘/VV + 는다/EF + ./SF

▴	▴/SW
경남	경남/NNP
울산·58세	울산/NNP + ·/SP + 58/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
졸	졸/NNG
▴	▴/SW
감사원	감사원/NNG
공보관	공보관/NNG
▴	▴/SW
감사원	감사원/NNG
5-4-1국장	5/SN + -/SS + 4/SN + -/SS + 1/SN + 국장/NNG
▴	▴/SW
사무차장	사무/NNG + 차장/NNG

63년	63/SN + 년/NNB
경제기획원	경제/NNG + 기획원/NNG
통계	통계/NNG
서기보로	서기보/NNG + 로/JKB
관직을	관직/NNG + 을/JKO
시작.	시작/NNG + ./SF

주로	주로/MAG
경제부서와	경제/NNG + 부서/NNG + 와/JC
내무	내무/NNG
부서에	부서/NNG + 에/JKB
몸담아	몸담/VV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

대선	대선/NNG
기간	기간/NNG
동안	동안/NNG
민자당	민자당/NNP
전문	전문/NNG
위원으로	위원/NNG + 으로/JKB
지방관계	지방/NNG + 관계/NNG
공약을	공약/NNG + 을/JKO
담당했다.	담당/NNG + 하/XSV + 았/EP + 다/EF + ./SF

부인	부인/NNG
곽정애씨(45)와	곽정애/NNP + 씨/NNB + (/SS + 45/SN + )/SS + 와/JC
1남	1/SN + 남/NNG
1녀.	1/SN + 녀/NNG + ./SF

▴	▴/SW
대구·53세	대구/NNP + ·/SP + 53/SN + 세/NNB
▴	▴/SW
성균관대	성균관대/NNP
▴	▴/SW
서울시	서울시/NNP
총무과장	총무/NNG + 과장/NNG
▴	▴/SW
경기도기획관리실장	경기도/NNP + 기획/NNG + 관리/NNG + 실장/NNG
▴	▴/SW
대구부시장	대구/NNP + 부시장/NNG
▴	▴/SW
경기-경남	경기/NNP + -/SS + 경남/NNP
부지사	부지사/NNG

공무원	공무원/NNG
입문	입문/NNG
32년만에	32/SN + 년/NNB + 만/NNB + 에/JKB
도백의	도백/NNG + 의/JKG
꿈을	꿈/NNG + 을/JKO
이룬	이루/VV + ㄴ/ETM
내무부의	내무부/NNG + 의/JKG
'호걸'.	'/SS + 호걸/NNG + '/SS + ./SF

88년	88/SN + 년/NNB
경기도부지사	경기도/NNP + 부지사/NNG
시절	시절/NNG
지사실에	지사실/NNG + 에/JKB
침입한	침입/NNG + 하/XSV + ㄴ/ETM
대학생들을	대학/NNG + 생/XSN + 들/XSN + 을/JKO
육탄으로	육탄/NNG + 으로/JKB
제지할	제지/NNG + 하/XSV + ㄹ/ETM
정도로	정도/NNG + 로/JKB
직선적	직선/NNG + 적/XSN
행동파.	행동파/NNG + ./SF

유해일	유해일/NNP
여사(53)와	여사/NNG + (/SS + 53/SN + )/SS + 와/JKB
5년.	5/SN + 년/NNB + ./SF

▴	▴/SW
경기	경기/NNP
양주·57세	양주/NNP + ·/SP + 57/SN + 세/NNB
▴	▴/SW
고려대	고려대/NNP
정외과	정외과/NNG
▴	▴/SW
경기부지사	경기/NNP + 부지사/NNG
▴	▴/SW
민자당	민자당/NNP
내무전문위원	내무/NNG + 전문/NNG + 위원/NNG
▴	▴/SW
내무부	내무부/NNG
민방위	민방위/NNG
본부장	본부장/NNG

책임감과	책임감/NNG + 과/JC
추진력이	추진력/NNG + 이/JKS
탁월하면서도	탁월/XR + 하/XSA + 면서/EC + 도/JX
원칙에	원칙/NNG + 에/JKB
철저한	철저/NNG + 하/XSA + ㄴ/ETM
인물.	인물/NNG + ./SF

72년	72/SN + 년/NNB
행정고시	행정/NNG + 고시/NNG
출신으로	출신/NNG + 으로/JKB
줄곧	줄곧/MAG
수사	수사/NNG
분야에	분야/NNG + 에/JKB
몸담아	몸담/VV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

전북	전북/NNP
출신이면서도	출신/NNG + 이/VCP + 면서/EC + 도/JX
경남-부산	경남/NNP + -/SS + 부산/NNP
경찰	경찰/NNG
국장을	국장/NNG + 을/JKO
지내	지내/VV + 어/EC
김영삼	김영삼/NNP
대통령과도	대통령/NNG + 과/JKB + 도/JX
안면이	안면/NNG + 이/JKS
많다.	많/VA + 다/EF + ./SF

이정희	이정희/NNP
씨와의	씨/NNB + 와/JKB + 의/JKG
사이에	사이/NNG + 에/JKB
1남	1/SN + 남/NNG
▴	▴/SW
전북	전북/NNP
전주·52세	전주/NNP + ·/SP + 52/SN + 세/NNB
▴	▴/SW
국민대	국민대/NNP
법학과	법학/NNG + 과/NNG
▴	▴/SW
경남도경국장	경남도경국장/NNG
▴	▴/SW
경찰종합학교장	경찰종합학교장/NNG
▴	▴/SW
부산	부산/NNP
시경	시경/NNG
국장	국장/NNG
▴	▴/SW
해양경찰청장	해양경찰청장/NNG

과묵하고	과묵/NNG + 하/XSA + 고/EC
온화한	온화/XR + 하/XSA + ㄴ/ETM
성격과	성격/NNG + 과/JC
합리적인	합리/NNG + 적/XSN + 이/VCP + ㄴ/ETM
사고	사고/NNG
방식.	방식/NNG + ./SF

총경진급후	총경/NNG + 진급/NNG + 후/NNG
아홉번째	아홉/NR + 번/NNB + 째/XSN
지휘관을	지휘관/NNG + 을/JKO
맡게	맡/VV + 게/EC
됐다.	되/VV + 었/EP + 다/EF + ./SF

김효은	김효은/NNP
신임	신임/NNG
경찰청장과	경찰청장/NNG + 과/JKB
쌍벽을	쌍벽/NNG + 을/JKO
이루는	이루/VV + 는/ETM
간부후보	간부/NNG + 후보/NNG
14기의	14/SN + 기/NNG + 의/JKG
선두	선두/NNG
주자.	주/VX + 자/EF + ./SF

정세	정세/NNG
분석과	분석/NNG + 과/JC
판단이	판단/NNG + 이/JKS
빨라	빠르/VA + 아/EC
정보	정보/NNG
업무에	업무/NNG + 에/JKB
일가견이	일가견/NNG + 이/JKS
있다.	있/VV + 다/EF + ./SF

정계희	정계희/NNP
씨와	씨/NNB + 와/JC
2남	2/SN + 남/NNG
1녀.	1/SN + 녀/NNG + ./SF

▴	▴/SW
충북	충북/NNP
영동·57세	영동/NNP + ·/SP + 57/SN + 세/NNB
▴	▴/SW
경희대	경희대/NNP
법대	법대/NNG
▴	▴/SW
경남-전남	경남/NNP + -/SS + 전남/NNP
경찰	경찰/NNG
국장	국장/NNG
▴	▴/SW
청와대	청와대/NNP
치안비서관	치안/NNG + 비서관/NNG
▴	▴/SW
경찰청	경찰청/NNG
차장	차장/NNG

교통부에서	교통부/NNG + 에서/JKB
잔뼈가	잔뼈/NNG + 가/JKS
굵은	굵/VA + 은/ETM
행정고시	행정/NNG + 고시/NNG
출신.	출신/NNG + ./SF

매사에	매사/NNG + 에/JKB
합리적.	합리/NNG + 적/XSN + ./SF

소탈하고	소탈/NNG + 하/XSA + 고/EC
꾸밈없는	꾸밈없/VA + 는/ETM
성격.	성격/NNG + ./SF

교통부	교통부/NNG
기획	기획/NNG
관리	관리/NNG
실장으로	실장/NNG + 으로/JKB
재직하던	재직/NNG + 하/XSV + 던/ETM
작년	작년/NNG
국정감사때	국정/NNG + 감사/NNG + 때/NNG
영종도	영종도/NNP
신공항과	신/XPN + 공항/NNG + 과/JC
고속	고속/NNG
전철	전철/NNG
사업의	사업/NNG + 의/JKG
타당성을	타당/XR + 성/XSN + 을/JKO
성공적으로	성공/NNG + 적/XSN + 으로/JKB
부각시켰다는	부각/NNG + 시키/XSV + 었/EP + 다는/ETM
평.	평/NNG + ./SF

부인	부인/NNG
김성은	김성은/NNP
여사(52)와	여사/NNG + (/SS + 52/SN + )/SS + 와/JC
2남.	2/SN + 남/NNG + ./SF

▴	▴/SW
전남	전남/NNP
나주·55세	나주/NNP + ·/SP + 55/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
사대	사대/NNG
▴	▴/SW
교통부	교통부/NNG
육운국장	육운국장/NNG
▴	▴/SW
전문	전문/NNG
위원	위원/NNG
▴	▴/SW
해운	해운/NNG
항만청	항만청/NNG
차장	차장/NNG

F4전투기	F/SL + 4/SN + 전투기/NNG
조종사	조종사/NNG
출신의	출신/NNG + 의/JKG
예비역	예비역/NNG
공군중장.	공군/NNG + 중장/NNG + ./SF

현역	현역/NNG
복무시	복무/NNG + 시/NNB
인사	인사/NNG
기획	기획/NNG
작전	작전/NNG
부서를	부서/NNG + 를/JKO
두루	두루/MAG
섭렵한	섭렵/NNG + 하/XSV + ㄴ/ETM
작전통.	작전통/NNG + ./SF

일	일/NNG
처리가	처리/NNG + 가/JKS
합리적이며	합리/NNG + 적/XSN + 이/VCP + 며/EC
추진력도	추진력/NNG + 도/JX
있다는	있/VV + 다는/ETM
평을	평/NNG + 을/JKO
들었다.	듣/VV + 었/EP + 다/EF + ./SF

공군	공군/NNG
교육	교육/NNG
사령관으로	사령관/NNG + 으로/JKB
있으면서	있/VV + 으면서/EC
공군	공군/NNG
신병	신병/NNG
교육	교육/NNG
훈련	훈련/NNG
체계를	체계/NNG + 를/JKO
현대전에	현대전/NNG + 에/JKB
알맞게	알맞/VA + 게/EC
개선하는	개선/NNG + 하/XSV + 는/ETM
데	데/NNB
주력했다.	주력/NNG + 하/XSV + 았/EP + 다/EF + ./SF

▴	▴/SW
충남	충남/NNP
당진·56세	당진/NNP + ·/SP + 56/SN + 세/NNB
▴	▴/SW
공사	공사/NNG
9기	9/SN + 기/NNG
▴	▴/SW
제	제/XPN
11	11/SN
전투비행단장	전투/NNG + 비행단장/NNG
▴	▴/SW
공군	공군/NNG
교육사령관	교육/NNG + 사령관/NNG

공채	공채/NNG
1회(5급)로	1/SN + 회/NNB + (/SS + 5/SN + 급/NNG + )/SS + 로/JKB
공직	공직/NNG
생활을	생활/NNG + 을/JKO
시작,	시작/NNG + ,/SP
31년	31/SN + 년/NNB
간	간/NNB
총무처에만	총무처/NNG + 에/JKB + 만/JX
몸담아	몸담/VV + 아/EC
온	오/VX + ㄴ/ETM
'총무	'/SS + 총무/NNG
처	처/NNG
터줏대감'.	터줏대감/NNG + '/SS + ./SF

5공	5/SN + 공/NNG
시절	시절/NNG
미얀마	미얀마/NNP
아웅산	아웅산/NNP
테러	테러/NNG
사건이	사건/NNG + 이/JKS
터진	터지/VV + ㄴ/ETM
뒤	뒤/NNG
희생자들의	희생자/NNG + 들/XSN + 의/JKG
유해를	유해/NNG + 를/JKO
국내로	국내/NNG + 로/JKB
옮기는	옮기/VV + 는/ETM
일을	일/NNG + 을/JKO
진두지휘했다.	진두지휘/NNG + 하/XSV + 았/EP + 다/EF + ./SF

총무처	총무처/NNG
후생	후생/NNG
국장을	국장/NNG + 을/JKO
역임.	역임/NNG + ./SF

▴	▴/SW
충북	충북/NNP
옥천·58세	옥천/NNP + ·/SP + 58/SN + 세/NNB
▴	▴/SW
충남대	충남대/NNP
문리대	문리대/NNG
졸	졸/NNG
▴	▴/SW
정부종합민원실장	정부/NNG + 종합/NNG + 민원실장/NNG
▴	▴/SW
정부	정부/NNG
청사	청사/NNG
관리	관리/NNG
소장	소장/NNG
▴	▴/SW
정부	정부/NNG
청사	청사/NNG
기획운영실장	기획/NNG + 운영/NNG + 실장/NNG

74년	74/SN + 년/NNB
부산지법	부산지법/NNP
진주지원	진주지원/NNP
판사로	판사/NNG + 로/JKB
임용된	임용/NNG + 되/XSV + ㄴ/ETM
후	후/NNG
20년	20/SN + 년/NNB
간	간/NNB
판사로	판사/NNG + 로/JKB
재직해	재직/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
법조출신.	법조/NNG + 출신/NNG + ./SF

부장	부장/NNG
판사	판사/NNG
8년만에	8/SN + 년/NNB + 만/NNB + 에/JKB
최연소	최/XPN + 연소/XR
감사	감사/NNG
위원이	위원/NNG + 이/JKC
됐다.	되/VV + 었/EP + 다/EF + ./SF

헌법에	헌법/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
조예가	조예/NNG + 가/JKS
깊어	깊/VA + 어/EC
공법	공법/NNG
학회에서	학회/NNG + 에서/JKB
인정을	인정/NNG + 을/JKO
받을	받/VV + 을/ETM
정도.	정도/NNG + ./SF

▴	▴/SW
인천·46세	인천/NNP + ·/SP + 46/SN + 세/NNB
▴	▴/SW
서울법대-대학원	서울/NNP + 법대/NNG + -/SS + 대학원/NNG
졸	졸/NNG
▴	▴/SW
춘천	춘천/NNP
제주	제주/NNP
인천지법	인천지법/NNP
판사	판사/NNG
▴	▴/SW
서울가정법원	서울가정법원/NNP
부장	부장/NNG
판사	판사/NNG
▴	▴/SW
서울	서울/NNP
민사	민사/NNG
지법	지법/NNG
부장	부장/NNG
판사	판사/NNG

김영삼	김영삼/NNP
대통령	대통령/NNG
비서	비서/NNG
출신의	출신/NNG + 의/JKG
YS맨.	YS/SL + 맨/NNG + ./SF

외환	외환/NNG
은행에	은행/NNG + 에/JKB
근무하다	근무/NNG + 하/XSV + 다/EC
79년	79/SN + 년/NNB
신민당	신민당/NNP
총재	총재/NNG
공보	공보/NNG
비서로	비서/NNG + 로/JKB
정계에	정계/NNG + 에/JKB
입문,	입문/NNG + ,/SP
이후	이후/NNG
외길을	외길/NNG + 을/JKO
걸어	걷/VV + 어/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

오랜	오랜/MM
야당	야당/NNG
생활에도	생활/NNG + 에/JKB + 도/JX
불구하고,	불구/XR + 하/XSV + 고/EC + ,/SP
부드러운	부드럽/VA + ㄴ/ETM
성품이다.	성품/NNG + 이/VCP + 다/EF + ./SF

신중하며	신중/NNG + 하/XSA + 며/EC
대인	대인/NNG
관계도	관계/NNG + 도/JX
