"내일	"/SS + 내일/NNG
취급하고	취급/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
하나의	하나/NR + 의/JKG
사례에	사례/NNG + 에/JKB
불과하다.	불과/MAG + 하/XSA + 다/EF + ./SF

그동안	그동안/NNG
조세학계와	조세/NNG + 학/NNG + 계/XSN + 와/JC
조세전문가단체	조세/NNG + 전문가/NNG + 단체/NNG
등에서는	등/NNB + 에서/JKB + 는/JX
청구기한을	청구/NNG + 기한/NNG + 을/JKO
국세부과의	국세/NNG + 부과/NNG + 의/JKG
제척기간을	제척/NNG + 기간/NNG + 을/JKO
감안해	감안/NNG + 하/XSV + 아/EC
5년으로	5/SN + 년/NNB + 으로/JKB
연장해	연장/NNG + 하/XSV + 아/EC
줄	주/VX + ㄹ/ETM
것을	것/NNB + 을/JKO
건의했으나	건의/NNG + 하/XSV + 았/EP + 으나/EC
실현되지	실현/NNG + 되/XSV + 지/EC
않고	않/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

국가에	국가/NNG + 에/JKB
비해	비하/VV + 아/EC
납세자를	납세자/NNG + 를/JKO
불공평하게	불/XPN + 공평/NNG + 하/XSA + 게/EC
취급하는	취급/NNG + 하/XSV + 는/ETM
세법	세법/NNG
조항은	조항/NNG + 은/JX
우리	우리/NP
세법의	세법/NNG + 의/JKG
도처에	도처/NNG + 에/JKB
자리잡고	자리/NNG + 잡/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

또	또/MAG
다른	다른/MM
불공평	불/XPN + 공평/NNG
사례로서	사례/NNG + 로서/JKB
국세를	국세/NNG + 를/JKO
법정납부기한까지	법정/NNG + 납부/NNG + 기한/NNG + 까지/JX
신고·납부하지	신고/NNG + ·/SP + 납부/NNG + 하/XSV + 지/EC
않았을	않/VX + 았/EP + 을/ETM
경우	경우/NNG
징세관서에서	징세/NNG + 관서/NNG + 에서/JKB
그	그/MM
미납기간의	미납/NNG + 기간/NNG + 의/JKG
이자	이자/NNG
성격으로	성격/NNG + 으로/JKB
받는	받/VV + 는/ETM
미납부	미/XPN + 납부/NNG
가산세율은	가산세/NNG + 율/XSN + 은/JX
1일	1/SN + 일/NNB
1만분의	1/SN + 만/NR + 분/XSN + 의/JKG
5로서	5/SN + 로서/JKB
연	연/NNG
18.25%이다.	18/SN + ./SP + 25/SN + %/SW + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
잘못낸	잘못/MAG + 내/VV + ㄴ/ETM
세금을	세금/NNG + 을/JKO
납세자에게	납세자/NNG + 에게/JKB
돌려주면서	돌려주/VV + 면서/EC
환급세금에	환급/NNG + 세금/NNG + 에/JKB
가산해	가산/NNG + 하/XSV + 아/EC
주는	주/VX + 는/ETM
이자성격의	이자/NNG + 성격/NNG + 의/JKG
환급가산금의	환급/NNG + 가산금/NNG + 의/JKG
이율은	이율/NNG + 은/JX
1일	1/SN + 일/NNB
10만분의	10/SN + 만/NR + 분/XSN + 의/JKG
13으로서	13/SN + 으로서/JKB
연	연/NNG
4.75%	4/SN + ./SP + 75/SN + %/SW
수준이다.	수준/NNG + 이/VCP + 다/EF + ./SF

과오납한	과오납/NNG + 하/XSV + ㄴ/ETM
납세자에게	납세자/NNG + 에게/JKB
되돌려주는	되돌리/VV + 어/EC + 주/VX + 는/ETM
세금에	세금/NNG + 에/JKB
가산해	가산/NNG + 하/XSV + 아/EC
주는	주/VX + 는/ETM
환급가산금의	환급/NNG + 가산금/NNG + 의/JKG
이율은	이율/NNG + 은/JX
은행이자율	은행/NNG + 이자/NNG + 율/XSN
하락에	하락/NNG + 에/JKB
발맞춰	발맞추/VV + 어/EC
연	연/NNG
10.95%	10/SN + ./SP + 95/SN + %/SW
수준에서	수준/NNG + 에서/JKB
지속적으로	지속/NNG + 적/XSN + 으로/JKB
하락시켜	하락/NNG + 시키/XSV + 어/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
납세자로부터	납세자/NNG + 로부터/JKB
덜	덜/MAG
낸	내/VV + ㄴ/ETM
세금을	세금/NNG + 을/JKO
받아들이면서	받아들이/VV + 면서/EC
가산하는	가산/NNG + 하/XSV + 는/ETM
미납부가산세율은	미/XPN + 납부/NNG + 가산세/NNG + 율/XSN + 은/JX
연	연/NNG
18.25%에서	18/SN + ./SP + 25/SN + %/SW + 에서/JKB
요지부동이다.	요지부동/NNG + 이/VCP + 다/EF + ./SF

그러므로	그러므로/MAJ
현재	현재/MAG
연	연/NNG
18.25%인	18/SN + ./SP + 25/SN + %/SW + 이/VCP + ㄴ/ETM
미납부가산세율도	미/XPN + 납부/NNG + 가산세/NNG + 율/XSN + 도/JX
현행	현행/NNG
은행이자율과	은행/NNG + 이자/NNG + 율/XSN + 과/JC
환급가산금의	환급/NNG + 가산금/NNG + 의/JKG
이율을	이율/NNG + 을/JKO
감안해	감안/NNG + 하/XSV + 아/EC
연	연/NNG
5%	5/SN + %/SW
수준으로	수준/NNG + 으로/JKB
대폭	대폭/MAG
인하해야	인하/NNG + 하/XSV + 아야/EC
공평하다.	공평/NNG + 하/XSA + 다/EF + ./SF

이	이/MM
외에	외/NNB + 에/JKB
현행	현행/NNG
세법조항에는	세법/NNG + 조항/NNG + 에/JKB + 는/JX
사업자	사업자/NNG
간,	간/NNG + ,/SP
소득자	소득자/NNG
간에	간/NNB + 에/JKB
불공평을	불/XPN + 공평/NNG + 을/JKO
야기하는	야기/NNG + 하/XSV + 는/ETM
조항이	조항/NNG + 이/JKS
상당히	상당히/MAG
있다.	있/VV + 다/EF + ./SF

대표적인	대표/NNG + 적/XSN + 이/VCP + ㄴ/ETM
것이	것/NNB + 이/JKS
부가가치세	부가/NNG + 가치세/NNG
일반과세자와	일반/NNG + 과세자/NNG + 와/JC
간이과세자간의	간이/NNG + 과세자/NNG + 간/NNB + 의/JKG
불공평이다.	불/XPN + 공평/NNG + 이/VCP + 다/EF + ./SF

부가가치세	부가/NNG + 가치세/NNG
간이과세제도는	간이/NNG + 과세/NNG + 제도/NNG + 는/JX
영세사업자보호	영세/NNG + 사업자/NNG + 보호/NNG
측면에서	측면/NNG + 에서/JKB
과세특례를	과세/NNG + 특례/NNG + 를/JKO
두고	두/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
부가가치세	부가/NNG + 가치세/NNG
과세특례범위를	과세/NNG + 특례/NNG + 범위/NNG + 를/JKO
넘어선	넘어서/VV + ㄴ/ETM
일반과세	일반/NNG + 과세/NNG
사업자들이	사업자/NNG + 들/XSN + 이/JKS
매출누락	매출/NNG + 누락/NNG
등으로	등/NNB + 으로/JKB
사업규모를	사업/NNG + 규모/NNG + 를/JKO
축소신고해	축소/NNG + 신고/NNG + 하/XSV + 아/EC
간이과세라는	간이/NNG + 과세/NNG + 이/VCP + 라는/ETM
'우산'	'/SS + 우산/NNG + '/SS
속에	속/NNG + 에/JKB
안주하는	안주/NNG + 하/XSV + 는/ETM
제도로	제도/NNG + 로/JKB
악용하고	악용/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
사례가	사례/NNG + 가/JKS
많다.	많/VA + 다/EF + ./SF

부가가치세	부가/NNG + 가치세/NNG
납세의무자	납세/NNG + 의무자/NNG
수에	수/NNG + 에/JKB
있어서도	있/VV + 어서/EC + 도/JX
특례과세자인	특례/NNG + 과세자/NNG + 이/VCP + ㄴ/ETM
간이과세자가	간이/NNG + 과세자/NNG + 가/JKS
정상과세자인	정상/NNG + 과세자/NNG + 이/VCP + ㄴ/ETM
일반과세자보다	일반/NNG + 과세자/NNG + 보다/JKB
많은	많/VA + 은/ETM
기현상을	기현상/NNG + 을/JKO
나타내고	나타내/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

이러한	이러/XR + 하/XSA + ㄴ/ETM
부가가치세	부가/NNG + 가치세/NNG
간이과세제도는	간이/NNG + 과세/NNG + 제도/NNG + 는/JX
부가가치세	부가/NNG + 가치세/NNG
행정의	행정/NNG + 의/JKG
기본틀을	기본/NNG + 틀/NNG + 을/JKO
무너뜨리고	무너뜨리/VV + 고/EC
거래의	거래/NNG + 의/JKG
투명성을	투명/NNG + 성/XSN + 을/JKO
저해하며	저해/NNG + 하/XSV + 며/EC
일반과세자와	일반/NNG + 과세자/NNG + 와/JC
간이과세자간	간이/NNG + 과세자/NNG + 간/NNB
또는	또는/MAG
사업자와	사업자/NNG + 와/JC
근로소득자	근로/NNG + 소득자/NNG
간	간/NNB
세부담의	세/NNG + 부담/NNG + 의/JKG
불공평을	불/XPN + 공평/NNG + 을/JKO
초래하므로	초래/NNG + 하/XSV + 므로/EC
폐지돼야	폐지/NNG + 되/XSV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

조세법의	조세법/NNG + 의/JKG
제정과	제정/NNG + 과/JC
운영에	운영/NNG + 에/JKB
있어	있/VV + 어/EC
양대축은	양대/MM + 축/NNG + 은/JX
공평과	공평/NNG + 과/JC
효율이다.	효율/NNG + 이/VCP + 다/EF + ./SF

효율은	효율/NNG + 은/JX
경제발전을	경제/NNG + 발전/NNG + 을/JKO
촉진하는	촉진/NNG + 하/XSV + 는/ETM
데	데/NNB
기여하고	기여/NNG + 하/XSV + 고/EC
공평은	공평/NNG + 은/JX
경제발전의	경제/NNG + 발전/NNG + 의/JKG
결과인	결과/NNG + 이/VCP + ㄴ/ETM
파이(Pie)를	파이/NNG + (/SS + Pie/SL + )/SS + 를/JKO
국민에게	국민/NNG + 에게/JKB
고르게	고르/VA + 게/EC
배분하는	배분/NNG + 하/XSV + 는/ETM
역할을	역할/NNG + 을/JKO
한다.	하/VV + ㄴ다/EF + ./SF

효율성	효율/NNG + 성/XSN
확보도	확보/NNG + 도/JX
중요하지만	중요/NNG + 하/XSA + 지만/EC
공평성	공평/NNG + 성/XSN
확보는	확보/NNG + 는/JX
더욱	더욱/MAG
중요하다.	중요/NNG + 하/XSA + 다/EF + ./SF

불공평세제를	불/XPN + 공평/NNG + 세제/NNG + 를/JKO
바로잡는	바로잡/VV + 는/ETM
것도	것/NNB + 도/JX
그	그/MM
어느	어느/MM
분야	분야/NNG
못지않은	못지않/VA + 은/ETM
민생현안이다.	민생/NNG + 현안/NNG + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
국회와	국회/NNG + 와/JC
정부는	정부/NNG + 는/JX
조세법의	조세법/NNG + 의/JKG
제정과	제정/NNG + 과/JC
운영에	운영/NNG + 에/JKB
있어	있/VV + 어/EC
공평성이	공평/NNG + 성/XSN + 이/JKS
훼손된	훼손/NNG + 되/XSV + ㄴ/ETM
분야를	분야/NNG + 를/JKO
찾아내	찾아내/VV + 어/EC
시급히	시급히/MAG
개선해	개선/NNG + 하/XSV + 아/EC
주길	주/VX + 기/ETN + ㄹ/JKO
바란다.	바라/VV + ㄴ다/EF + ./SF

대기업들의	대/XPN + 기업/NNG + 들/XSN + 의/JKG
경제단체인	경제/NNG + 단체/NNG + 이/VCP + ㄴ/ETM
전경련은	전경련/NNP + 은/JX
올	올/MM
봄	봄/NNG
총회에서	총회/NNG + 에서/JKB
"앞으로	"/SS + 앞/NNG + 으로/JKB
부당한	부당/NNG + 하/XSA + ㄴ/ETM
정치자금의	정치/NNG + 자금/NNG + 의/JKG
제공을	제공/NNG + 을/JKO
거부하겠다"고	거부/NNG + 하/XSV + 겠/EP + 다/EF + "/SS + 고/JKQ
선언했다.	선언/NNG + 하/XSV + 았/EP + 다/EF + ./SF

당시	당시/NNG
많은	많/VA + 은/ETM
국민들은	국민/NNG + 들/XSN + 은/JX
잇따라	잇따르/VV + 아/EC
터져나온	터지/VV + 어/EC + 나오/VV + ㄴ/ETM
정치	정치/NNG
스캔들에	스캔들/NNG + 에/JKB
식상해	식상/NNG + 하/XSV + 아/EC
있던	있/VX + 던/ETM
터라	터/NNB + 이/VCP + 라/EC
전경련의	전경련/NNP + 의/JKG
이	이/MM
같은	같/VA + 은/ETM
선언이	선언/NNG + 이/JKS
정경유착의	정경/NNG + 유착/NNG + 의/JKG
폐해를	폐해/NNG + 를/JKO
극복할	극복/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
계기로	계기/NNG + 로/JKB
작용하기를	작용/NNG + 하/XSV + 기/ETN + 를/JKO
진심으로	진심/NNG + 으로/JKB
기대했었다.	기대/NNG + 하/XSV + 았었/EP + 다/EF + ./SF

전경련	전경련/NNP
산하	산하/NNG
한국경제연구원은	한국경제연구원/NNP + 은/JX
당시	당시/NNG
한발	한발/MAG
더	더/MAG
나아가	나아가/VV + 아/EC
"정치인들로부터	"/SS + 정치인/NNG + 들/XSN + 로부터/JX
고해성사를	고해/NNG + 성사/NNG + 를/JKO
받고	받/VV + 고/EC
과거의	과거/NNG + 의/JKG
죄를	죄/NNG + 를/JKO
용서해주자"는	용서/NNG + 하/XSV + 아/EC + 주/VX + 자/EC + "/SS + 는/JX
정치개혁	정치/NNG + 개혁/NNG
보고서까지	보고서/NNG + 까지/JX
작성,	작성/NNG + ,/SP
언론에	언론/NNG + 에/JKB
발표했다.	발표/NNG + 하/XSV + 았/EP + 다/EF + ./SF

정치권과	정치/NNG + 권/XSN + 과/JC
재계간에	재계/NNG + 간/NNB + 에/JKB
이뤄지는	이루어지/VV + 는/ETM
정치자금	정치/NNG + 자금/NNG
거래는	거래/NNG + 는/JX
순전히	순전히/MAG
정치권의	정치/NNG + 권/XSN + 의/JKG
압력	압력/NNG
때문에	때문/NNB + 에/JKB
발생한	발생/NNG + 하/XSV + ㄴ/ETM
것이고,	것/NNB + 이/VCP + 고/EC + ,/SP
재계는	재계/NNG + 는/JX
마지못해	마지못하/VA + 아/EC
돈을	돈/NNG + 을/JKO
제공한	제공/NNG + 하/XSV + ㄴ/ETM
희생자였다는	희생자/NNG + 이/VCP + 었/EP + 다는/ETM
뉘앙스였다.	뉘앙스/NNG + 이/VCP + 었/EP + 다/EF + ./SF

그러나	그러나/MAJ
최근	최근/NNG
검찰이	검찰/NNG + 이/JKS
김대중(DJ)	김대중/NNP + (/SS + DJ/SL + )/SS
대통령의	대통령/NNG + 의/JKG
2남	2/SN + 남/NNG
홍업씨를	홍업/NNP + 씨/NNB + 를/JKO
구속하면서	구속/NNG + 하/XSV + 면서/EC
발표한	발표/NNG + 하/XSV + ㄴ/ETM
기소장	기소장/NNG
내용을	내용/NNG + 을/JKO
보면	보/VV + 면/EC
재벌기업들이	재벌/NNG + 기업/NNG + 들/XSN + 이/JKS
국민들을	국민/NNG + 들/XSN + 을/JKO
상대로	상대/NNG + 로/JKB
'이중	'/SS + 이중/NNG
플레이'를	플레이/NNG + '/SS + 를/JKO
한	하/VV + ㄴ/ETM
것	것/NNB
같은	같/VA + 은/ETM
느낌이	느낌/NNG + 이/JKS
든다.	들/VV + ㄴ다/EF + ./SF

검찰	검찰/NNG
조사에	조사/NNG + 에/JKB
따르면	따르/VV + 면/EC
홍업씨는	홍업/NNP + 씨/NNB + 는/JX
DJ정부	DJ/SL + 정부/NNG
출범	출범/NNG
이후	이후/NNG
기업들로부터	기업/NNG + 들/XSN + 로부터/JKB
48억원의	48/SN + 억/NR + 원/NNB + 의/JKG
불법자금을	불법/NNG + 자금/NNG + 을/JKO
받았는데,	받/VV + 았/EP + 는데/EC + ,/SP
이	이/MM
중	중/NNB
21억원이	21/SN + 억/NR + 원/NNB + 이/JKS
국내	국내/NNG
최대기업인	최대/NNG + 기업인/NNG
삼성과	삼성/NNP + 과/JC
현대그룹으로부터	현대그룹/NNP + 으로부터/JKB
나온	나오/VV + ㄴ/ETM
것으로	것/NNB + 으로/JKB
나타나	나타나/VV + 아/EC
있다.	있/VX + 다/EF + ./SF

과거의	과거/NNG + 의/JKG
정치자금	정치/NNG + 자금/NNG
스캔들에서	스캔들/NNG + 에서/JKB
늘	늘/MAG
그랬던	그렇/VA + 었/EP + 던/ETM
것처럼	것/NNB + 처럼/JKB
삼성과	삼성/NNP + 과/JC
현대는	현대/NNP + 는/JX
이번	이번/NNG
사건에	사건/NNG + 에/JKB
대해서도	대하/VV + 아서/EC + 도/JX
침묵을	침묵/NNG + 을/JKO
굳게	굳/VA + 게/EC
지키고	지키/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

이	이/MM
때문에	때문/NNB + 에/JKB
홍업씨에게	홍업/NNP + 씨/NNB + 에게/JKB
제공된	제공/NNG + 되/XSV + ㄴ/ETM
돈이	돈/NNG + 이/JKS
회사	회사/NNG
공금인지,	공금/NNG + 이/VCP + ㄴ지/EC + ,/SP
아니면	아니/VCN + 면/EC
총수의	총수/NNG + 의/JKG
비자금인지는	비자금/NNG + 이/VCP + ㄴ지/EC + 는/JX
아직	아직/MAG
명확하지	명확/XR + 하/XSA + 지/EC
않다.	않/VX + 다/EF + ./SF

하지만	하지만/MAJ
어느쪽	어느/MM + 쪽/NNB
돈이든지	돈/NNG + 이/VCP + 든지/EC
두	두/MM
기업의	기업/NNG + 의/JKG
최고	최고/NNG
경영인들은	경영인/NNG + 들/XSN + 은/JX
배임혐의를	배임/NNG + 혐의/NNG + 를/JKO
벗어나기	벗어나/VV + 기/ETN
힘들어	힘들/VA + 어/EC
보인다는	보이/VV + ㄴ다는/ETM
게	것/NNB + 이/JKS
전문가들의	전문가/NNG + 들/XSN + 의/JKG
지적이다.	지적/NNG + 이/VCP + 다/EF + ./SF

미묘한	미묘/XR + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
현대와	현대/NNP + 와/JC
삼성이	삼성/NNP + 이/JKS
홍업씨에게	홍업/NNP + 씨/NNB + 에게/JKB
돈을	돈/NNG + 을/JKO
준	주/VV + ㄴ/ETM
시점이다.	시점/NNG + 이/VCP + 다/EF + ./SF

현대는	현대/NNP + 는/JX
당시	당시/NNG
LG그룹과	LG/SL + 그룹/NNG + 과/JKB
반도체	반도체/NNG
빅딜(big	빅딜/NNG + (/SS + big/SL
deal·사업교환)	deal/SL + ·/SP + 사업/NNG + 교환/NNG + )/SS
협상을	협상/NNG + 을/JKO
벌이고	벌이/VV + 고/EC
있었고,	있/VX + 었/EP + 고/EC + ,/SP
삼성은	삼성/NNP + 은/JX
삼성생명의	삼성생명/NNP + 의/JKG
증시상장	증시/NNG + 상장/NNG
추진	추진/NNG
문제를	문제/NNG + 를/JKO
정부와	정부/NNG + 와/JKB
협의하던	협의/NNG + 하/XSV + 던/ETM
중이었다.	중/NNB + 이/VCP + 었/EP + 다/EF + ./SF

기자는	기자/NNG + 는/JX
세계적	세계/NNG + 적/XSN
기업인	기업/NNG + 이/VCP + ㄴ/ETM
삼성과	삼성/NNP + 과/JC
현대가	현대/NNP + 가/JKS
정부로부터	정부/NNG + 로부터/JKB
무언가	무엇/NP + 이/VCP + ㄴ가/EC
대가를	대가/NNG + 를/JKO
얻어내기	얻/VV + 어/EC + 내/VX + 기/ETN
위해	위하/VV + 아/EC
돈을	돈/NNG + 을/JKO
뿌렸다고는	뿌리/VV + 었/EP + 다고/EC + 는/JX
생각하지	생각/NNG + 하/XSV + 지/EC
않지만,	않/VX + 지만/EC + ,/SP
삼성과	삼성/NNP + 과/JC
현대가	현대/NNP + 가/JKS
홍업씨를	홍업/NNP + 씨/NNB + 를/JKO
'불우이웃'으로	'/SS + 불우/NNG + 이웃/NNG + '/SS + 으로/JKB
생각하고	생각/NNG + 하/XSV + 고/EC
거액을	거액/NNG + 을/JKO
쾌척했을	쾌척/NNG + 하/XSV + 았/EP + 을/ETM
가능성도	가능/NNG + 성/XSN + 도/JX
희박하다고	희박/XR + 하/XSA + 다고/EC
본다.	보/VV + ㄴ다/EF + ./SF

또	또/MAG
이번	이번/NNG
사건과	사건/NNG + 과/JKB
관련해	관련/NNG + 하/XSV + 아/EC
국민들은	국민/NNG + 들/XSN + 은/JX
홍업씨에게	홍업/NNP + 씨/NNB + 에게/JKB
돈을	돈/NNG + 을/JKO
준	주/VV + ㄴ/ETM
기업들이	기업/NNG + 들/XSN + 이/JKS
과연	과연/MAG
현대와	현대/NNP + 와/JC
삼성뿐이었을까	삼성/NNP + 뿐/NNB + 이/VCP + 었/EP + 을까/EC
하는	하/VV + 는/ETM
의문을	의문/NNG + 을/JKO
가지고	가지/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

벌써	벌써/MAG
시중에는	시중/NNG + 에/JKB + 는/JX
10여개	10/SN + 여/XSN + 개/NNB
기업들의	기업/NNG + 들/XSN + 의/JKG
명단이	명단/NNG + 이/JKS
나돌고	나돌/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

이	이/MM
부분에	부분/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
의혹	의혹/NNG
해소는	해소/NNG + 는/JX
'이명재	'/SS + 이명재/NNP
검찰'의	검찰/NNG + '/SS + 의/JKG
몫이다.	몫/NNG + 이/VCP + 다/EF + ./SF

검찰이	검찰/NNG + 이/JKS
이번	이번/NNG
수사에서	수사/NNG + 에서/JKB
정치권력의	정치권력/NNG + 의/JKG
압력을	압력/NNG + 을/JKO
이겨낸	이기/VV + 어/EC + 내/VX + ㄴ/ETM
것처럼	것/NNB + 처럼/JKB
재벌들의	재벌/NNG + 들/XSN + 의/JKG
수사	수사/NNG
무마	무마/NNG
로비도	로비/NNG + 도/JX
이겨낼	이기/VV + 어/EC + 내/VX + ㄹ/ETM
수	수/NNB
있을지	있/VV + 을지/EC
앞으로	앞/NNG + 으로/JKB
지켜볼	지켜보/VV + ㄹ/ETM
대목이다.	대목/NNG + 이/VCP + 다/EF + ./SF

만약	만약/NNG
과거의	과거/NNG + 의/JKG
사례처럼	사례/NNG + 처럼/JKB
이번	이번/NNG
정치자금	정치/NNG + 자금/NNG
스캔들도	스캔들/NNG + 도/JX
뿌리를	뿌리/NNG + 를/JKO
캐내지	캐내/VV + 지/EC
못하고	못하/VX + 고/EC
끝난다면	끝나/VV + ㄴ다면/EC
정경유착의	정경/NNG + 유착/NNG + 의/JKG
폐해는	폐해/NNG + 는/JX
다음	다음/NNG
정권에서도	정권/NNG + 에서/JKB + 도/JX
근절될	근절/NNG + 되/XSV + ㄹ/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
별로	별로/MAG
없다.	없/VA + 다/EF + ./SF

재벌들의	재벌/NNG + 들/XSN + 의/JKG
비자금	비자금/NNG
조성	조성/NNG
관행을	관행/NNG + 을/JKO
막으려면	막/VV + 으려면/EC
우선	우선/MAG
정치권이	정치/NNG + 권/XSN + 이/JKS
깨끗해져야	깨끗/XR + 하/XSA + 아/EC + 지/VX + 어야/EC
함은	하/VX + ㅁ/ETN + 은/JX
두말할	두말/NNG + 하/XSV + ㄹ/ETM
필요가	필요/NNG + 가/JKS
없을	없/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

김영삼(YS)	김영삼/NNP + (/SS + YS/SL + )/SS
전	전/MM
대통령과	대통령/NNG + 과/JC
DJ는	DJ/SL + 는/JX
대통령직에	대통령/NNG + 직/NNG + 에/JKB
취임할	취임/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
정치자금을	정치/NNG + 자금/NNG + 을/JKO
받지	받/VV + 지/EC
않겠다고	않/VX + 겠/EP + 다고/EC
국민들에게	국민/NNG + 들/XSN + 에게/JKB
약속한	약속/NNG + 하/XSV + ㄴ/ETM
바	바/NNB
있다.	있/VV + 다/EF + ./SF

그러나	그러나/MAJ
그	그/MM
아들들은	아들/NNG + 들/XSN + 은/JX
두	두/MM
대통령이	대통령/NNG + 이/JKS
청와대에	청와대/NNP + 에/JKB
들어가자마자	들어가/VV + 자마자/EC
돈을	돈/NNG + 을/JKO
받기	받/VV + 기/ETN
시작했으며,	시작/NNG + 하/XSV + 았/EP + 으며/EC + ,/SP
결국	결국/NNG
두	두/MM
정권의	정권/NNG + 의/JKG
도덕성을	도덕/NNG + 성/XSN + 을/JKO
결정적으로	결정/NNG + 적/XSN + 으로/JKB
무너뜨리고	무너뜨리/VV + 고/EC
말았다.	말/VX + 았/EP + 다/EF + ./SF

우리나라	우리나라/NNG
정치지도자들은	정치/NNG + 지도자/NNG + 들/XSN + 은/JX
다시	다시/MAG
한번	한번/NNG
이번	이번/NNG
사건의	사건/NNG + 의/JKG
교훈을	교훈/NNG + 을/JKO
생각해	생각/NNG + 하/XSV + 아/EC
볼	보/VX + ㄹ/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

또	또/MAG
하나,	하나/NR + ,/SP
정치자금	정치/NNG + 자금/NNG
스캔들의	스캔들/NNG + 의/JKG
재발을	재발/NNG + 을/JKO
막으려면	막/VV + 으려면/EC
비자금	비자금/NNG
조성이	조성/NNG + 이/JKS
어렵도록	어렵/VA + 도록/EC
기업	기업/NNG
회계제도를	회계/NNG + 제도/NNG + 를/JKO
더욱	더욱/MAG
개혁할	개혁/NNG + 하/XSV + ㄹ/ETM
필요가	필요/NNG + 가/JKS
있다는	있/VV + 다는/ETM
생각이다.	생각/NNG + 이/VCP + 다/EF + ./SF

그동안	그동안/NNG
정부와	정부/NNG + 와/JC
기업들은	기업/NNG + 들/XSN + 은/JX
"1997년	"/SS + 1997/SN + 년/NNB
IMF	IMF/SL
쇼크	쇼크/NNG
이후	이후/NNG
회계장부	회계/NNG + 장부/NNG
작성이	작성/NNG + 이/JKS
매우	매우/MAG
투명해져	투명/NNG + 하/XSA + 아/EC + 지/VX + 어/EC
기업들의	기업/NNG + 들/XSN + 의/JKG
비자금	비자금/NNG
조성이	조성/NNG + 이/JKS
어려워졌다"고	어렵/VA + 어/EC + 지/VX + 었/EP + 다/EF + "/SS + 고/JKQ
주장해	주장/NNG + 하/XSV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

하지만	하지만/MAJ
이번	이번/NNG
사건을	사건/NNG + 을/JKO
보면	보/VV + 면/EC
그	그/MM
같은	같/VA + 은/ETM
주장은	주장/NNG + 은/JX
믿기가	믿/VV + 기/ETN + 가/JKS
어려워진다.	어렵/VA + 어/EC + 지/VX + ㄴ다/EF + ./SF

재벌들이	재벌/NNG + 들/XSN + 이/JKS
IMF	IMF/SL
이후에도	이후/NNG + 에/JKB + 도/JX
출처가	출처/NNG + 가/JKS
불분명한	불/XPN + 분명/MAG + 하/XSA + ㄴ/ETM
수십억원의	수십억/NR + 원/NNB + 의/JKG
비자금을	비자금/NNG + 을/JKO
마음대로	마음대로/MAG
조성했다가	조성/NNG + 하/XSV + 았/EP + 다가/EC
필요할	필요/NNG + 하/XSA + ㄹ/ETM
때	때/NNG
은밀히	은밀히/MAG
지출해온	지출/NNG + 하/XSV + 아/EC + 오/VX + ㄴ/ETM
사실이	사실/NNG + 이/JKS
드러났기	드러나/VV + 았/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

불법	불법/NNG
정치자금은	정치/NNG + 자금/NNG + 은/JX
정치권의	정치/NNG + 권/XSN + 의/JKG
압력	압력/NNG
못지않게	못지않/VA + 게/EC
정치권의	정치/NNG + 권/XSN + 의/JKG
힘을	힘/NNG + 을/JKO
빌려	빌리/VV + 어/EC
손쉽게	손쉽/VA + 게/EC
돈을	돈/NNG + 을/JKO
벌려는	벌/VV + 려는/ETM
기업인들이	기업인/NNG + 들/XSN + 이/JKS
많기	많/VA + 기/ETN
때문에	때문/NNB + 에/JKB
존재한다.	존재/NNG + 하/XSV + ㄴ다/EF + ./SF

따라서	따라서/MAJ
정당하게	정당/XR + 하/XSA + 게/EC
사업을	사업/NNG + 을/JKO
하려는	하/VV + 려는/ETM
기업들인이	기업/NNG + 들/XSN + 인/NNG + 이/JKS
많아지면	많/VA + 아/EC + 지/VX + 면/EC
많아질수록	많/VA + 아/EC + 지/VX + ㄹ수록/EC
기업들이	기업/NNG + 들/XSN + 이/JKS
