엊그제	엊그제/NNG
지키라".	지키/VV + 라/EC + "/SS + ./SF

'미국인과	'/SS + 미국인/NNG + 과/JC
햄버거와	햄버거/NNG + 와/JC
콜라와	콜라/NNG + 와/JC
신념'	신념/NNG + '/SS

86년	86/SN + 년/NNB
10월	10/SN + 월/NNB
이후	이후/NNG
그가	그/NP + 가/JKS
인질이었던	인질/NNG + 이/VCP + 었/EP + 던/ETM
동안	동안/NNG
중동은	중동/NNP + 은/JX
참	참/MAG
많은	많/VA + 은/ETM
변화가	변화/NNG + 가/JKS
훑고	훑/VV + 고/EC
지나갔다.	지나가/VV + 았/EP + 다/EF + ./SF

레바논	레바논/NNP
내전의	내전/NNG + 의/JKG
종식이	종식/NNG + 이/JKS
있었고,	있/VV + 었/EP + 고/EC + ,/SP
89년엔	89/SN + 년/NNB + 에/JKB + ㄴ/JX
'동료'	'/SS + 동료/NNG + '/SS
인질	인질/NNG
가운데	가운데/NNG
하나인	하나/NR + 이/VCP + ㄴ/ETM
미국인	미국인/NNG
히긴스	히긴스/NNP
중령이	중령/NNG + 이/JKS
납치자들의	납치자/NNG + 들/XSN + 의/JKG
손에	손/NNG + 에/JKB
처형되기도	처형/NNG + 되/XSV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

이란의	이란/NNP + 의/JKG
호메이니가	호메이니/NNP + 가/JKS
사망하고	사망/NNG + 하/XSV + 고/EC
남북	남북/NNG
예멘이	예멘/NNP + 이/JKS
통일됐으며,	통일/NNG + 되/XSV + 었/EP + 으며/EC + ,/SP
중동의	중동/NNP + 의/JKG
정치	정치/NNG
판도가	판도/NNG + 가/JKS
뒤바뀌고	뒤바뀌/VV + 고/EC
세계	세계/NNG
신질서에	신/XPN + 질서/NNG + 에/JKB
영향을	영향/NNG + 을/JKO
끼친	끼치/VV + ㄴ/ETM
걸프	걸프/NNP
전쟁이	전쟁/NNG + 이/JKS
있었다.	있/VV + 었/EP + 다/EF + ./SF

프랑크푸르트에서	프랑크푸르트/NNP + 에서/JKB
트레이시를	트레이시/NNP + 를/JKO
만난	만나/VV + ㄴ/ETM
미국	미국/NNP
총영사는	총영사/NNG + 는/JX
"그의	"/SS + 그/NP + 의/JKG
건강은	건강/NNG + 은/JX
대체로	대체로/MAG
괜찮아	괜찮/VA + 아/EC
보였으나	보이/VV + 었/EP + 으나/EC
얼굴은	얼굴/NNG + 은/JX
창백했다"고	창백/XR + 하/XSA + 았/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그는	그/NP + 는/JX
병원에서	병원/NNG + 에서/JKB
미국	미국/NNP
외교관들과	외교관/NNG + 들/XSN + 과/JKB
많은	많/VA + 은/ETM
관계자들의	관계자/NNG + 들/XSN + 의/JKG
환영을	환영/NNG + 을/JKO
받았지만	받/VV + 았/EP + 지만/EC
가족은	가족/NNG + 은/JX
아무도	아무/NP + 도/JX
만나지	만나/VV + 지/EC
못했다.	못하/VX + 았/EP + 다/EF + ./SF

이혼한	이혼/NNG + 하/XSV + ㄴ/ETM
그에게도	그/NP + 에게/JKB + 도/JX
세	세/MM
자식과	자식/NNG + 과/JC
노모는	노모/NNG + 는/JX
있었다.	있/VV + 었/EP + 다/EF + ./SF

트레이시는	트레이시/NNP + 는/JX
자신이	자신/NNG + 이/JKS
1백m	1/SN + 백/NR + m/SL
달리기를	달리기/NNG + 를/JKO
할	하/VV + ㄹ/ETM
수	수/NNB
있을	있/VV + 을/ETM
만큼	만큼/NNB
건강하다고	건강/NNG + 하/XSA + 다고/EC
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그는	그/NP + 는/JX
지난	지나/VV + ㄴ/ETM
5년	5/SN + 년/NNB
동안의	동안/NNG + 의/JKG
인질	인질/NNG
생활이	생활/NNG + 이/JKS
끝나고	끝나/VV + 고/EC
이제	이제/MAG
석방된	석방/NNG + 되/XSV + ㄴ/ETM
것은	것/NNB + 은/JX
"한	"/SS + 한/MM
인간을	인간/NNG + 을/JKO
다시	다시/MAG
태어나게	태어나/VV + 게/EC
했다"고	하/VX + 았/EP + 다/EC + "/SS + 고/JKQ
소감을	소감/NNG + 을/JKO
밝히기도	밝히/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

메인주에	메인주/NNP + 에/JKB
있는	있/VV + 는/ETM
휴가지에서	휴가지/NNG + 에서/JKB
트레이시의	트레이시/NNP + 의/JKG
석방	석방/NNG
소식을	소식/NNG + 을/JKO
들은	듣/VV + 은/ETM
부시	부시/NNP
대통령은	대통령/NNG + 은/JX
"우리가	"/SS + 우리/NP + 가/JKS
낙관적일	낙관/NNG + 적/XSN + 이/VCP + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
총체적인	총체/NNG + 적/XSN + 이/VCP + ㄴ/ETM
이유가	이유/NNG + 가/JKS
있다면	있/VV + 다면/EC
그것은	그것/NP + 은/JX
옛날의	옛날/NNG + 의/JKG
적들이	적/NNG + 들/XSN + 이/JKS
마주	마주/MAG
앉아	앉/VV + 아/EC
평화를	평화/NNG + 를/JKO
얘기할	얘기/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
훌륭한	훌륭/XR + 하/XSA + ㄴ/ETM
기회가	기회/NNG + 가/JKS
있다는	있/VV + 다는/ETM
사실을	사실/NNG + 을/JKO
세상	세상/NNG
사람들이	사람/NNG + 들/XSN + 이/JKS
알아	알/VV + 아/EC
차리게	차리/VV + 게/EC
된	되/VV + ㄴ/ETM
것일	것/NNB + 이/VCP + ㄹ/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

트레이시는	트레이시/NNP + 는/JX
당분간	당분간/MAG
비스바덴에	비스바덴/NNP + 에/JKB
있는	있/VV + 는/ETM
병원에	병원/NNG + 에/JKB
머물면서	머물/VV + 면서/EC
건강	건강/NNG
회복에	회복/NNG + 에/JKB
주력할	주력/NNG + 하/XSV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
보인다.	보이/VV + ㄴ다/EF + ./SF

기력을	기력/NNG + 을/JKO
찾아	찾/VV + 아/EC
기자회견을	기자/NNG + 회견/NNG + 을/JKO
하게	하/VV + 게/EC
된다면	되/VV + ㄴ다면/EC
아마도	아마도/MAG
아직	아직/MAG
석방되지	석방/NNG + 되/XSV + 지/EC
않은	않/VX + 은/ETM
동료	동료/NNG
인질	인질/NNG
10	10/SN
명이	명/NNB + 이/JKS
풀려나도록	풀려나/VV + 도록/EC
관련	관련/NNG
정부들의	정부/NNG + 들/XSN + 의/JKG
노력을	노력/NNG + 을/JKO
촉구할	촉구/NNG + 하/XSV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그리고	그리고/MAJ
미국에선	미국/NNP + 에서/JKB + ㄴ/JX
지난	지나/VV + ㄴ/ETM
80년	80/SN + 년/NNB
대통령	대통령/NNG
선거	선거/NNG
때	때/NNG
민주당의	민주당/NNP + 의/JKG
카터	카터/NNP
대통령을	대통령/NNG + 을/JKO
궁지에	궁지/NNG + 에/JKB
몰아	몰/VV + 아/EC
넣기	넣/VV + 기/ETN
위해	위하/VV + 아/EC
공화당이	공화당/NNP + 이/JKS
이란	이/NP + 란/JX
억류	억류/NNG
인질들의	인질/NNG + 들/XSN + 의/JKG
석방을	석방/NNG + 을/JKO
고의로	고의/NNG + 로/JKB
지연시켰다는	지연/NNG + 시키/XSV + 었/EP + 다는/ETM
스캔들에	스캔들/NNG + 에/JKB
대해	대하/VV + 아/EC
조사가	조사/NNG + 가/JKS
진행	진행/NNG
중이라는	중/NNB + 이/VCP + 라는/ETM
사실도	사실/NNG + 도/JX
알게	알/VV + 게/EC
될	되/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

세계	세계/NNG
청소년	청소년/NNG
축제가	축제/NNG + 가/JKS
궂은	궂/VA + 은/ETM
날씨에도	날씨/NNG + 에/JKB + 도/JX
불구하고	불구/XR + 하/XSV + 고/EC
강원도	강원도/NNP
고성군	고성군/NNP
신평리	신평리/NNP
일대	일대/NNG
2백만평의	2/SN + 백만/NR + 평/NNB + 의/JKG
부지	부지/NNG
위에서	위/NNG + 에서/JKB
7박	7/SN + 박/NNB
8일	8/SN + 일/NNB
동안	동안/NNG
펼쳐져	펼쳐지/VV + 어/EC
전국을	전국/NNG + 을/JKO
술렁이게	술렁이/VV + 게/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

세계	세계/NNG
1백	1/SN + 백/NR
34	34/SN
개국에서	개국/NNB + 에서/JKB
2만여명의	2/SN + 만/NR + 여/XSN + 명/NNB + 의/JKG
스카우트	스카우트/NNG
대원들이	대원/NNG + 들/XSN + 이/JKS
참가,	참가/NNG + ,/SP
세계는	세계/NNG + 는/JX
하나라는	하나/NR + 이/VCP + 라는/ETM
슬로건	슬로건/NNG
아래	아래/NNG
펼친	펼치/VV + ㄴ/ETM
우정의	우정/NNG + 의/JKG
축제는	축제/NNG + 는/JX
젊은	젊/VA + 은/ETM
불꽃을	불꽃/NNG + 을/JKO
화폭에	화폭/NNG + 에/JKB
옮겨	옮기/VV + 어/EC
놓고	놓/VX + 고/EC
것처럼	것/NNB + 처럼/JKB
보는	보/VV + 는/ETM
이들의	이/NP + 들/XSN + 의/JKG
가슴을	가슴/NNG + 을/JKO
설레게	설레/VV + 게/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

과거	과거/NNG
오랫동안	오랫동안/NNG
우정과	우정/NNG + 과/JC
친선을	친선/NNG + 을/JKO
모토로	모토/NNG + 로/JKB
했던	하/VV + 았/EP + 던/ETM
행사가	행사/NNG + 가/JKS
없었던	없/VA + 었/EP + 던/ETM
것은	것/NNB + 은/JX
아니지만	아니/VCN + 지만/EC
이번	이번/NNG
강원도	강원도/NNP
고성군	고성군/NNP
설악산	설악산/NNP
일대의	일대/NNG + 의/JKG
수려한	수려/XR + 하/XSA + ㄴ/ETM
경관을	경관/NNG + 을/JKO
무대로	무대/NNG + 로/JKB
한	하/VV + ㄴ/ETM
제	제/XPN
17회	17/SN + 회/NNB
세계	세계/NNG
잼버리	잼버리/NNG
대회만큼	대회/NNG + 만큼/JKB
모든	모든/MM
국민과	국민/NNG + 과/JC
세계인의	세계인/NNG + 의/JKG
관심을	관심/NNG + 을/JKO
끌지는	끌/VV + 지/EC + 는/JX
못했다.	못하/VX + 았/EP + 다/EF + ./SF

특히	특히/MAG
소련에서는	소련/NNP + 에서/JKB + 는/JX
이번	이번/NNG
대회에	대회/NNG + 에/JKB
이	이/MM
시대의	시대/NNG + 의/JKG
비극을	비극/NNG + 을/JKO
몸으로	몸/NNG + 으로/JKB
체험했던	체험/NNG + 하/XSV + 았/EP + 던/ETM
체르노빌의	체르노빌/NNP + 의/JKG
원전피해	원전/NNG + 피해/NNG
청소년이	청소년/NNG + 이/JKS
직접	직접/MAG
참가해	참가/NNG + 하/XSV + 아/EC
대회의	대회/NNG + 의/JKG
의의를	의의/NNG + 를/JKO
고양시켰는가	고양/NNG + 시키/XSV + 었/EP + 는가/EC
하면	하/VV + 면/EC
오랫동안	오랫동안/NNG
단절된	단절/NNG + 되/XSV + ㄴ/ETM
사회로	사회/NNG + 로/JKB
인식되던	인식/NNG + 되/XSV + 던/ETM
동구권	동구/NNP + 권/XSN
국가의	국가/NNG + 의/JKG
젊은이들도	젊은이/NNG + 들/XSN + 도/JX
다수	다수/NNG
내한해	내한/NNG + 하/XSV + 아/EC
세계는	세계/NNG + 는/JX
하나라는	하나/NR + 이/VCP + 라는/ETM
이념을	이념/NNG + 을/JKO
살렸다.	살리/VV + 었/EP + 다/EF + ./SF

그것은	그것/NP + 은/JX
마치	마치/MAG
이웃집을	이웃집/NNG + 을/JKO
방문하는	방문/NNG + 하/XSV + 는/ETM
친구들의	친구/NNG + 들/XSN + 의/JKG
자세와	자세/NNG + 와/JKB
같은	같/VA + 은/ETM
것이었다.	것/NNB + 이/VCP + 었/EP + 다/EF + ./SF

88	88/SN
서울	서울/NNP
올림픽	올림픽/NNG
대회가	대회/NNG + 가/JKS
이념의	이념/NNG + 의/JKG
벽을	벽/NNG + 을/JKO
허물어뜨리는	허물어뜨리/VV + 는/ETM
화합의	화합/NNG + 의/JKG
장을	장/NNG + 을/JKO
마련한	마련/NNG + 하/XSV + ㄴ/ETM
것이라면	것/NNB + 이/VCP + 라면/EC
이번	이번/NNG
세계	세계/NNG
잼버리	잼버리/NNG
대회는	대회/NNG + 는/JX
모두에게	모두/NNG + 에게/JKB
내	나/NP + 의/JKG
일을	일/NNG + 을/JKO
함께	함께/MAG
살아갈	살아가/VV + ㄹ/ETM
울타리를	울타리/NNG + 를/JKO
마련해	마련/NNG + 하/XSV + 아/EC
준	주/VX + ㄴ/ETM
연대	연대/NNG
의식을	의식/NNG + 을/JKO
뿌리	뿌리/NNG
내리게	내리/VV + 게/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

88서울	88/SN + 서울/NNP
올림픽을	올림픽/NNG + 을/JKO
분기점으로	분기점/NNG + 으로/JKB
하여	하/VV + 아/EC
지구의	지구/NNG + 의/JKG
종말로까지	종말/NNG + 로/JKB + 까지/JX
치달을	치닫/VV + 을/ETM
것처럼	것/NNB + 처럼/JKB
보이던	보이/VV + 던/ETM
냉전	냉전/NNG
체제가	체제/NNG + 가/JKS
무너지고	무너지/VV + 고/EC
화합의	화합/NNG + 의/JKG
장은	장/NNG + 은/JX
마련되었으나	마련/NNG + 되/XSV + 었/EP + 으나/EC
오히려	오히려/MAG
지역의	지역/NNG + 의/JKG
이익과	이익/NNG + 과/JC
국가	국가/NNG
나름의	나름/NNB + 의/JKG
생존을	생존/NNG + 을/JKO
위한	위하/VV + ㄴ/ETM
이기주의는	이기주의/NNG + 는/JX
강화된	강화/NNG + 되/XSV + ㄴ/ETM
감이	감/NNG + 이/JKS
짙다.	짙/VA + 다/EF + ./SF

바로	바로/MAG
이때를	이때/NNG + 를/JKO
맞아	맞/VV + 아/EC
세계의	세계/NNG + 의/JKG
청소년들이	청소년/NNG + 들/XSN + 이/JKS
인종과	인종/NNG + 과/JC
종교,	종교/NNG + ,/SP
사상과	사상/NNG + 과/JC
신념에	신념/NNG + 에/JKB
관계없이	관계/NNG + 없이/MAG
흙탕물에서	흙탕물/NNG + 에서/JKB
뒹굴고	뒹굴/VV + 고/EC
어깨를	어깨/NNG + 를/JKO
같이하며	같이/MAG + 하/XSV + 며/EC
서로의	서로/NNG + 의/JKG
우정을	우정/NNG + 을/JKO
다짐하게	다짐/NNG + 하/XSV + 게/EC
된	되/VV + ㄴ/ETM
것은	것/NNB + 은/JX
뜻깊은	뜻/NNG + 깊/VA + 은/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

88	88/SN
올림픽	올림픽/NNG
대회와	대회/NNG + 와/JC
이번	이번/NNG
세계	세계/NNG
잼버리	잼버리/NNG
대회를	대회/NNG + 를/JKO
개최하면서	개최/NNG + 하/XSV + 면서/EC
우리는	우리/NP + 는/JX
이	이/MM
시대에	시대/NNG + 에/JKB
존재하는	존재/NNG + 하/XSV + 는/ETM
냉소와	냉소/NNG + 와/JC
반목의	반목/NNG + 의/JKG
현실을	현실/NNG + 을/JKO
타파하는	타파/NNG + 하/XSV + 는/ETM
화합의	화합/NNG + 의/JKG
주인공이었다는	주인공/NNG + 이/VCP + 었/EP + 다는/ETM
자신감과	자신감/NNG + 과/JKB
함께	함께/MAG
세계사의	세계사/NNG + 의/JKG
주인공이라는	주인공/NNG + 이/VCP + 라는/ETM
자부심을	자부심/NNG + 을/JKO
동시에	동시/NNG + 에/JKB
가질	가지/VV + ㄹ/ETM
수	수/NNB
있게	있/VV + 게/EC
되었다.	되/VV + 었/EP + 다/EF + ./SF

한	한/MM
가지	가지/NNB
궁금한	궁금/XR + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
세계의	세계/NNG + 의/JKG
젊은이들이	젊은이/NNG + 들/XSN + 이/JKS
대회기간에	대회/NNG + 기간/NNG + 에/JKB
각각의	각각/NNG + 의/JKG
흉중에	흉중/NNG + 에/JKB
어떤	어떤/MM
감회를	감회/NNG + 를/JKO
지녔을까	지니/VV + 었/EP + 을까/EC
하는	하/VV + 는/ETM
점이다.	점/NNG + 이/VCP + 다/EF + ./SF

우리는	우리/NP + 는/JX
1990년대를	1990/SN + 년대/NNB + 를/JKO
살면서	살/VV + 면서/EC
우리의	우리/NP + 의/JKG
윤리와	윤리/NNG + 와/JC
도덕이	도덕/NNG + 이/JKS
해체되는	해체/NNG + 되/XSV + 는/ETM
것과	것/NNB + 과/JKB
같은	같/VA + 은/ETM
위기	위기/NNG
의식을	의식/NNG + 을/JKO
종종	종종/MAG
느끼곤	느끼/VV + 곤/EC
한다.	하/VX + ㄴ다/EF + ./SF

학교에서나	학교/NNG + 에서/JKB + 나/JC
가정에서나	가정/NNG + 에서/JKB + 나/JC
국가	국가/NNG
전체로도	전체/NNG + 로/JKB + 도/JX
기존의	기존/NNG + 의/JKG
윤리와	윤리/NNG + 와/JC
도덕	도덕/NNG
가치가	가치/NNG + 가/JKS
어떤	어떤/MM
것인가를	것/NNB + 이/VCP + ㄴ가/EC + 를/JKO
가르쳐	가르치/VV + 어/EC
주지	주/VX + 지/EC
않는	않/VX + 는/ETM
무감각증에	무/XPN + 감각증/NNG + 에/JKB
빠지게	빠지/VV + 게/EC
되었다.	되/VV + 었/EP + 다/EF + ./SF

힘을	힘/NNG + 을/JKO
가진	가지/VV + ㄴ/ETM
자는	자/NNB + 는/JX
가진만큼	가지/VV + ㄴ/ETM + 만큼/NNB
소유할	소유/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다고	있/VV + 다고/EC
믿는	믿/VV + 는/ETM
권력	권력/NNG
지상주의의	지상주의/NNG + 의/JKG
팽배가	팽배/NNG + 가/JKS
판을	판/NNG + 을/JKO
치고	치/VV + 고/EC
있는	있/VX + 는/ETM
것이며	것/NNB + 이/VCP + 며/EC
없는	없/VA + 는/ETM
자는	자/NNB + 는/JX
그만큼	그만큼/MAG
무력감에	무력감/NNG + 에/JKB
휩싸여	휩싸이/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

커다란	커다랗/VA + ㄴ/ETM
사건	사건/NNG
뒤에	뒤/NNG + 에/JKB
예외	예외/NNG
없이	없이/MAG
도사리고	도사리/VV + 고/EC
있는	있/VX + 는/ETM
권력의	권력/NNG + 의/JKG
손은	손/NNG + 은/JX
많은	많/VA + 은/ETM
사람들을	사람/NNG + 들/XSN + 을/JKO
권력	권력/NNG
지상주의로	지상주의/NNG + 로/JKB
이끌어	이끌/VV + 어/EC
가고	가/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

이	이/MM
시대를	시대/NNG + 를/JKO
사는	살/VV + 는/ETM
이들에게	이/NP + 들/XSN + 에게/JKB
끊임	끊이/VV + ㅁ/ETN
없는	없/VA + 는/ETM
개혁과	개혁/NNG + 과/JC
새시대를	새/MM + 시대/NNG + 를/JKO
향한	향하/VV + ㄴ/ETM
희망이	희망/NNG + 이/JKS
필요한	필요/NNG + 하/XSA + ㄴ/ETM
것도	것/NNB + 도/JX
바로	바로/MAG
이와	이/NP + 와/JKB
같은	같/VA + 은/ETM
상황에서	상황/NNG + 에서/JKB
나오는	나오/VV + 는/ETM
역설의	역설/NNG + 의/JKG
논리다.	논리/NNG + 이/VCP + 다/EF + ./SF

때문에	때문/NNB + 에/JKB
이번	이번/NNG
대회는	대회/NNG + 는/JX
우리에게	우리/NP + 에게/JKB
잊혀지고	잊히/VV + 어/EC + 지/VX + 고/EC
있던	있/VX + 던/ETM
많은	많/VA + 은/ETM
것들을	것/NNB + 들/XSN + 을/JKO
가르쳐	가르치/VV + 어/EC
주었다.	주/VX + 었/EP + 다/EF + ./SF

젊은이들의	젊은이/NNG + 들/XSN + 의/JKG
가식	가식/NNG
없는	없/VA + 는/ETM
몸짓과	몸짓/NNG + 과/JC
이상들,	이상/NNG + 들/XSN + ,/SP
미국의	미국/NNP + 의/JKG
청소년들에게서는	청소년/NNG + 들/XSN + 에게서/JKB + 는/JX
개척	개척/NNG
정신과	정신/NNG + 과/JC
한국의	한국/NNP + 의/JKG
젊은이들이	젊은이/NNG + 들/XSN + 이/JKS
보여준	보이/VV + 어/EC + 주/VX + ㄴ/ETM
선비로서의	선비/NNG + 로서/JKB + 의/JKG
아량과	아량/NNG + 과/JC
주인	주인/NNG
의식들이	의식/NNG + 들/XSN + 이/JKS
그것이며	그것/NP + 이/VCP + 며/EC
이름조차	이름/NNG + 조차/JX
생소한	생소/XR + 하/XSA + ㄴ/ETM
섬나라의	섬나라/NNG + 의/JKG
대원들마저	대원/NNG + 들/XSN + 마저/JX
함께	함께/MAG
어울릴	어울리/VV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
인간	인간/NNG
존엄의	존엄/NNG + 의/JKG
사상이다.	사상/NNG + 이/VCP + 다/EF + ./SF

그리고	그리고/MAJ
무엇보다	무엇/NP + 보다/JKB
소중한	소중/XR + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
우리가	우리/NP + 가/JKS
5천년	5/SN + 천/NR + 년/NNB
이상을	이상/NNG + 을/JKO
면면히	면면히/MAG
이어	잇/VV + 어/EC
내려온	내려오/VV + ㄴ/ETM
소중한	소중/XR + 하/XSA + ㄴ/ETM
문화	문화/NNG
자산을	자산/NNG + 을/JKO
가지고	가지/VV + 고/EC
있다는	있/VX + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그것은	그것/NP + 은/JX
수십년에	수십/NR + 년/NNB + 에/JKB
이룰	이루/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
단순한	단순/NNG + 하/XSA + ㄴ/ETM
부의	부/NNG + 의/JKG
개념과는	개념/NNG + 과/JKB + 는/JX
다른	다른/MM
것이어서	것/NNB + 이/VCP + 어서/EC
대회장을	대회장/NNG + 을/JKO
감싸는	감싸/VV + 는/ETM
공기와	공기/NNG + 와/JKB
같은	같/VA + 은/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

충분히	충분히/MAG
자부심을	자부심/NNG + 을/JKO
가질	가지/VV + ㄹ/ETM
만한	만/NNB + 하/XSA + ㄴ/ETM
것임은	것/NNB + 이/VCP + ㅁ/ETN + 은/JX
물론이다.	물론/NNG + 이/VCP + 다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
소중한	소중/XR + 하/XSA + ㄴ/ETM
자산을	자산/NNG + 을/JKO
바탕으로	바탕/NNG + 으로/JKB
우리는	우리/NP + 는/JX
우리는	우리/NP + 는/JX
젊은이들에게는	젊은이/NNG + 들/XSN + 에게/JKB + 는/JX
조국의	조국/NNG + 의/JKG
자랑스러움과	자랑/NNG + 스럽/XSA + ㅁ/ETN + 과/JC
선배들의	선배/NNG + 들/XSN + 의/JKG
땀흘린	땀/NNG + 흘리/VV + ㄴ/ETM
역사를,	역사/NNG + 를/JKO + ,/SP
외국	외국/NNG
대원들에게는	대원/NNG + 들/XSN + 에게/JKB + 는/JX
한국이	한국/NNP + 이/JKS
인정많고	인정/NNG + 많/VA + 고/EC
문화적인	문화/NNG + 적/XSN + 이/VCP + ㄴ/ETM
나라로	나라/NNG + 로/JKB
기억되기를	기억/NNG + 되/XSV + 기/ETN + 를/JKO
바란다.	바라/VV + ㄴ다/EF + ./SF

그러나	그러나/MAJ
보다	보다/MAG
중요한	중요/NNG + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
우리가	우리/NP + 가/JKS
어떤	어떤/MM
일을	일/NNG + 을/JKO
했느냐는	하/VV + 았/EP + 느냐는/ETM
것이	것/NNB + 이/JKC
아니고,	아니/VCN + 고/EC + ,/SP
어떤	어떤/MM
자세로	자세/NNG + 로/JKB
일을	일/NNG + 을/JKO
추진했느냐이다.	추진/NNG + 하/XSV + 았/EP + 느냐/EC + 이/VCP + 다/EF + ./SF

만약	만약/NNG
우리가	우리/NP + 가/JKS
문화적인	문화/NNG + 적/XSN + 이/VCP + ㄴ/ETM
주관을	주관/NNG + 을/JKO
가지고	가지/VV + 고/EC
열심히	열심히/MAG
했다면	하/VV + 았/EP + 다면/EC
한국	한국/NNP
잼버리는	잼버리/NNG + 는/JX
세계는	세계/NNG + 는/JX
하나라는	하나/NR + 이/VCP + 라는/ETM
이상을	이상/NNG + 을/JKO
충실히	충실히/MAG
실행한	실행/NNG + 하/XSV + ㄴ/ETM
대회로	대회/NNG + 로/JKB
역사에	역사/NNG + 에/JKB
기록될	기록/NNG + 되/XSV + ㄹ/ETM
것이고,	것/NNB + 이/VCP + 고/EC + ,/SP
우리는	우리/NP + 는/JX
올림픽	올림픽/NNG
때	때/NNG
느꼈던	느끼/VV + 었/EP + 던/ETM
것과	것/NNB + 과/JKB
같은	같/VA + 은/ETM
성취감과	성취감/NNG + 과/JC
희망을	희망/NNG + 을/JKO
다시	다시/MAG
한번	한번/NNG
되살릴	되살리/VV + ㄹ/ETM
수	수/NNB
있을	있/VV + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

참가자	참가자/NNG
모두가	모두/NNG + 가/JKS
냉전	냉전/NNG
이데올로기를	이데올로기/NNG + 를/JKO
훌훌	훌훌/MAG
벗어	벗/VV + 어/EC
던지고	던지/VV + 고/EC
이해와	이해/NNG + 와/JC
화합으로	화합/NNG + 으로/JKB
맺어지는	맺/VV + 어/EC + 지/VX + 는/ETM
잼버리	잼버리/NNG
대회장에서	대회장/NNG + 에서/JKB
볼	보/VV + ㄹ/ETM
때	때/NNG
아직도	아직/MAG + 도/JX
이념	이념/NNG
투쟁의	투쟁/NNG + 의/JKG
도구를	도구/NNG + 를/JKO
면치	면하/VV + 지/EC
못한	못하/VX + ㄴ/ETM
지식인과	지식인/NNG + 과/JC
대학생들이	대학/NNG + 생/XSN + 들/XSN + 이/JKS
소수나마	소수/NNG + 나마/JX
이	이/MM
땅에	땅/NNG + 에/JKB
남아	남/VV + 아/EC
있다는	있/VX + 다는/ETM
것은	것/NNB + 은/JX
하나의	하나/NR + 의/JKG
비극이었다.	비극/NNG + 이/VCP + 었/EP + 다/EF + ./SF

고르바초프는	고르바초프/NNP + 는/JX
쿠데타	쿠데타/NNG
3일	3/SN + 일/NNB
천하	천하/NNG
끝에	끝/NNG + 에/JKB
권좌에	권좌/NNG + 에/JKB
복귀했다.	복귀/NNG + 하/XSV + 았/EP + 다/EF + ./SF

연방	연방/NNG
대통령의	대통령/NNG + 의/JKG
자리는	자리/NNG + 는/JX
전이나	전/NNG + 이나/JX
마찬가지지만	마찬가지/NNG + 이/VCP + 지만/EC
어쩐지	어쩐지/MAG
그의	그/NP + 의/JKG
위세는	위세/NNG + 는/JX
이제	이제/MAG
한풀	한풀/NNG
꺾여	꺾이/VV + 어/EC
보인다.	보이/VV + ㄴ다/EF + ./SF

철옹성	철옹성/NNG
같던	같/VA + 던/ETM
소련	소련/NNP
공산당의	공산당/NNP + 의/JKG
70년	70/SN + 년/NNB
역사를	역사/NNG + 를/JKO
깨고	깨/VV + 고/EC
개혁과	개혁/NNG + 과/JC
개방을	개방/NNG + 을/JKO
패기	패기/NNG
있게	있/VV + 게/EC
추진했던	추진/NNG + 하/XSV + 았/EP + 던/ETM
선각자적	선각자/NNG + 적/XSN
모습은	모습/NNG + 은/JX
이제	이제/MAG
아무	아무/MM
데서도	데/NNB + 서/JKB + 도/JX
찾아	찾/VV + 아/EC
보기	보/VX + 기/ETN
어려운	어렵/VA + ㄴ/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

