지나간	지나가/VV + ㄴ/ETM
늘리겠다는	늘리/VV + 겠/EP + 다는/ETM
구상이	구상/NNG + 이/JKS
현실화	현실/NNG + 화/XSN
될	되/VV + ㄹ/ETM
때,	때/NNG + ,/SP
그	그/MM
파장은	파장/NNG + 은/JX
결코	결코/MAG
과소	과소/NNG
평가해서는	평가/NNG + 하/XSV + 아서/EC + 는/JX
안될	안/MAG + 되/XSV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

둘째,	둘째/NR + ,/SP
지금의	지금/NNG + 의/JKG
경제	경제/NNG
상황은	상황/NNG + 은/JX
인플레	인플레/NNG
압력의	압력/NNG + 의/JKG
해소가	해소/NNG + 가/JKS
중요한	중요/NNG + 하/XSA + ㄴ/ETM
과제로	과제/NNG + 로/JKB
제기되어	제기/NNG + 되/XSV + 어/EC
있는	있/VX + 는/ETM
시점이다.	시점/NNG + 이/VCP + 다/EF + ./SF

정부도	정부/NNG + 도/JX
하반기	하반기/NNG
경제	경제/NNG
운용	운용/NNG
방향에서	방향/NNG + 에서/JKB
물가	물가/NNG
안정에	안정/NNG + 에/JKB
최우선	최/XPN + 우선/NNG
목표를	목표/NNG + 를/JKO
둔다고	두/VV + ㄴ다고/EC
공언했고,	공언/NNG + 하/XSV + 았/EP + 고/EC + ,/SP
재정과	재정/NNG + 과/JC
금융의	금융/NNG + 의/JKG
긴축	긴축/NNG
운용을	운용/NNG + 을/JKO
약속한	약속/NNG + 하/XSV + ㄴ/ETM
바	바/NNB
있다.	있/VV + 다/EF + ./SF

올해	올해/NNG
예산에서	예산/NNG + 에서/JKB
2천억	2/SN + 천억/NR
원의	원/NNB + 의/JKG
세출을	세출/NNG + 을/JKO
절감하고	절감/NNG + 하/XSV + 고/EC
3천억	3/SN + 천억/NR
원의	원/NNB + 의/JKG
정부	정부/NNG
투자	투자/NNG
사업	사업/NNG
집행도	집행/NNG + 도/JX
연기하겠다고	연기/NNG + 하/XSV + 겠/EP + 다고/EC
했다.	하/VV + 았/EP + 다/EF + ./SF

투기와	투기/NNG + 와/JC
물가	물가/NNG
압력은	압력/NNG + 은/JX
여전히	여전히/MAG
높아,	높/VA + 아/EC + ,/SP
두	두/MM
자리	자리/NNG
상승이	상승/NNG + 이/JKS
예견되는	예견/NNG + 되/XSV + 는/ETM
마당에서,	마당/NNB + 에서/JKB + ,/SP
갑자기	갑자기/MAG
20%씩	20/SN + %/SW + 씩/XSN
재정을	재정/NNG + 을/JKO
늘리겠다는	늘리/VV + 겠/EP + 다는/ETM
것은	것/NNB + 은/JX
일관성도	일관/NNG + 성/XSN + 도/JX
없고	없/VA + 고/EC
앞뒤가	앞뒤/NNG + 가/JKS
맞지	맞/VV + 지/EC
않는다.	않/VX + 는다/EF + ./SF

셋째,	셋째/NR + ,/SP
재정	재정/NNG
확대의	확대/NNG + 의/JKG
주요	주요/NNG
배경이	배경/NNG + 이/JKS
내년의	내년/NNG + 의/JKG
경기	경기/NNG
침체	침체/NNG
전망이라면,	전망/NNG + 이/VCP + 라면/EC + ,/SP
내년	내년/NNG
팽창	팽창/NNG
재정의	재정/NNG + 의/JKG
균형은	균형/NNG + 은/JX
더욱	더욱/MAG
어려워져,	어렵/VA + 어/EC + 지/VX + 어/EC + ,/SP
무리한	무리/NNG + 하/XSA + ㄴ/ETM
세출은	세출/NNG + 은/JX
결국	결국/NNG
적자를	적자/NNG + 를/JKO
불러	부르/VV + 어/EC
올	오/VX + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없을	없/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

물론	물론/MAG
내년	내년/NNG
경기	경기/NNG
전망이	전망/NNG + 이/JKS
불투명하고	불/XPN + 투명/NNG + 하/XSA + 고/EC
수출	수출/NNG
또한	또한/MAG
낙관할	낙관/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없다면,	없/VA + 다면/EC + ,/SP
재정의	재정/NNG + 의/JKG
경기조절	경기/NNG + 조절/NNG
기능을	기능/NNG + 을/JKO
적극화하는	적극/NNG + 화/XSN + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
바람직하다.	바람직/XR + 하/XSA + 다/EF + ./SF

그러나	그러나/MAJ
그것	그것/NP
또한	또한/MAG
한계가	한계/NNG + 가/JKS
있을	있/VV + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

수출과	수출/NNG + 과/JC
내수가	내수/NNG + 가/JKS
침체	침체/NNG
국면에	국면/NNG + 에/JKB
들면	들/VV + 면/EC
세입에서	세입/NNG + 에서/JKB
세수	세수/NNG
확보가	확보/NNG + 가/JKS
어려워지고,	어렵/VA + 어/EC + 지/VX + 고/EC + ,/SP
무리한	무리/NNG + 하/XSA + ㄴ/ETM
세수	세수/NNG
확대는	확대/NNG + 는/JX
민간의	민간/NNG + 의/JKG
활력을	활력/NNG + 을/JKO
더욱	더욱/MAG
위축시키는	위축/NNG + 시키/XSV + 는/ETM
결과가	결과/NNG + 가/JKC
된다.	되/VV + ㄴ다/EF + ./SF

그렇지	그렇/VA + 지/EC
않고서는	않/VX + 고서/EC + 는/JX
팽창	팽창/NNG
예산의	예산/NNG + 의/JKG
적자화를	적자/NNG + 화/XSN + 를/JKO
막을	막/VV + 을/ETM
길이	길/NNG + 이/JKS
없고,	없/VA + 고/EC + ,/SP
그것은	그것/NP + 은/JX
다시	다시/MAG
잠재된	잠재/NNG + 되/XSV + ㄴ/ETM
인플레	인플레/NNG
압력을	압력/NNG + 을/JKO
촉발시킬	촉발/NNG + 시키/XSV + ㄹ/ETM
소지를	소지/NNG + 를/JKO
안고	안/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

이런	이런/MM
제반	제반/NNG
상황에	상황/NNG + 에/JKB
비추어,	비추/VV + 어/EC + ,/SP
급격하거나	급격/XR + 하/XSA + 거나/EC
무리한	무리/NNG + 하/XSA + ㄴ/ETM
팽창	팽창/NNG
예산은	예산/NNG + 은/JX
적어도	적어도/MAG
지금으로서는	지금/NNG + 으로서/JKB + 는/JX
바람직하지	바람직/XR + 하/XSA + 지/EC
않다는	않/VX + 다는/ETM
것이	것/NNB + 이/JKS
우리의	우리/NP + 의/JKG
판단이다.	판단/NNG + 이/VCP + 다/EF + ./SF

물론	물론/MAG
재정의	재정/NNG + 의/JKG
경기조절	경기/NNG + 조절/NNG
기능을	기능/NNG + 을/JKO
확대하거나	확대/NNG + 하/XSV + 거나/EC
공공	공공/NNG
투자의	투자/NNG + 의/JKG
필요성이	필요/NNG + 성/XSN + 이/JKS
급박한	급박/NNG + 하/XSA + ㄴ/ETM
점은	점/NNG + 은/JX
충분히	충분히/MAG
인정된다.	인정/NNG + 되/XSV + ㄴ다/EF + ./SF

그러나	그러나/MAJ
그것은	그것/NP + 은/JX
일시적	일시/NNG + 적/XSN
규모	규모/NNG
팽창으로서가	팽창/NNG + 으로서/JKB + 가/JKC
아니라,	아니/VCN + 라/EC + ,/SP
경기	경기/NNG
동향과	동향/NNG + 과/JC
물가	물가/NNG
사정을	사정/NNG + 을/JKO
충분히	충분히/MAG
고려한	고려/NNG + 하/XSV + ㄴ/ETM
탄력	탄력/NNG
적인	적/NNG + 이/VCP + ㄴ/ETM
재정으로	재정/NNG + 으로/JKB
접근해야	접근/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

재정	재정/NNG
기능은	기능/NNG + 은/JX
물론	물론/MAG
정상화돼야	정상/NNG + 화/XSN + 되/XSV + 어야/EC
하지만,	하/VX + 지만/EC + ,/SP
그	그/MM
이전에	이전/NNG + 에/JKB
재정	재정/NNG
구조의	구조/NNG + 의/JKG
개혁과	개혁/NNG + 과/JC
생산성	생산/NNG + 성/XSN
제고가	제고/NNG + 가/JKS
더	더/MAG
급한	급하/VA + ㄴ/ETM
선결	선결/NNG
과제임을	과제/NNG + 이/VCP + ㅁ/ETN + 을/JKO
잊어서는	잊/VV + 어서/EC + 는/JX
안될	안/MAG + 되/XSV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

무리한	무리/NNG + 하/XSA + ㄴ/ETM
긴축도	긴축/NNG + 도/JX
지양돼야	지양/NNG + 되/XSV + 어야/EC
하지만,	하/VX + 지만/EC + ,/SP
무리한	무리/NNG + 하/XSA + ㄴ/ETM
팽창은	팽창/NNG + 은/JX
더욱	더욱/MAG
큰	크/VA + ㄴ/ETM
문제를	문제/NNG + 를/JKO
불러올	불러오/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

수많은	수많/VA + 은/ETM
국민들이	국민/NNG + 들/XSN + 이/JKS
지금	지금/MAG
방북	방북/NNG
신청서	신청서/NNG
접수	접수/NNG
창구에	창구/NNG + 에/JKB
몰려	몰리/VV + 어/EC
들어	들/VX + 어/EC
열띤	열띠/VA + ㄴ/ETM
기대를	기대/NNG + 를/JKO
부풀리고	부풀리/VV + 고/EC
있다는	있/VX + 다는/ETM
보도들이다.	보도/NNG + 들/XSN + 이/VCP + 다/EC + ./SF

수십	수십/NR
년	년/NNB
전	전/NNG
헤어진	헤어지/VV + ㄴ/ETM
혈육과의	혈육/NNG + 과/JKB + 의/JKG
상봉을	상봉/NNG + 을/JKO
그리면서,	그리/VV + 면서/EC + ,/SP
이들은	이/NP + 들/XSN + 은/JX
꿈에도	꿈/NNG + 에/JKB + 도/JX
잊지	잊/VV + 지/EC
못할	못하/VX + ㄹ/ETM
고향	고향/NNG
산천을	산천/NNG + 을/JKO
죽기	죽/VV + 기/ETN
전에	전/NNG + 에/JKB
한	한/MM
번	번/NNB
기필코	기필코/MAG
보고야	보/VV + 고/EC + 야/JX
말겠다는	말/VX + 겠/EP + 다는/ETM
설렘	설레/VV + ㅁ/ETN
속에서	속/NNG + 에서/JKB
밤잠을	밤잠/NNG + 을/JKO
못	못/MAG
이룬다는	이루/VV + ㄴ다는/ETM
이야기다.	이야기/NNG + 이/VCP + 다/EF + ./SF

어찌	어찌/MAG
안	안/MAG
그럴	그러/VV + ㄹ/ETM
리가	리/NNB + 가/JKS
있겠는가.	있/VV + 겠/EP + 는가/EF + ./SF

이	이/MM
이산의	이산/NNG + 의/JKG
한이야말로	한/NNG + 이야말로/JX
40년	40/SN + 년/NNB
간의	간/NNB + 의/JKG
분단의	분단/NNG + 의/JKG
아픔을	아픔/NNG + 을/JKO
겪어	겪/VV + 어/EC
보지	보/VX + 지/EC
않은	않/VX + 은/ETM
외국인들은	외국인/NNG + 들/XSN + 은/JX
도저히	도저히/MAG
짐작도	짐작/NNG + 도/JX
하지	하/VV + 지/EC
못할	못하/VX + ㄹ/ETM
통한일	통한/NNG + 이/VCP + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그래서	그래서/MAJ
우리	우리/NP
모두는	모두/NNG + 는/JX
이번의	이번/NNG + 의/JKG
자유	자유/NNG
왕래	왕래/NNG
제의가	제의/NNG + 가/JKS
북에	북/NNG + 에/JKB
의해	의하/VV + 아/EC
어떻게	어떻/VA + 게/EC
해서든	하/VV + 아서/EC + 든/EC
받아들여지기를	받아들이/VV + 어/EC + 지/VX + 기/ETN + 를/JKO
민족의	민족/NNG + 의/JKG
이름으로	이름/NNG + 으로/JKB
대망하는	대망/NNG + 하/XSV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그러면서	그러/VV + 면서/EC
또	또/MAG
한편으로는	한편/NNG + 으로/JKB + 는/JX
그런	그런/MM
우리	우리/NP
국민들의	국민/NNG + 들/XSN + 의/JKG
처지가	처지/NNG + 가/JKS
한없이	한없이/MAG
안쓰럽고	안쓰럽/VA + 고/EC
슬프게	슬프/VA + 게/EC
느껴짐을	느끼/VV + 어/EC + 지/VX + ㅁ/ETN + 을/JKO
금할	금하/VV + ㄹ/ETM
수가	수/NNB + 가/JKS
없다.	없/VA + 다/EF + ./SF

벌써	벌써/MAG
이런	이런/MM
설렘이	설레/VV + ㅁ/ETN + 이/JKS
몇	몇/MM
번째였으며,	번/NNB + 째/XSN + 이/VCP + 었/EP + 으며/EC + ,/SP
그	그/MM
때마다	때/NNG + 마다/JX
그	그/MM
흥분과	흥분/NNG + 과/JC
기대가	기대/NNG + 가/JKS
쓰디쓴	쓰디쓰/VA + ㄴ/ETM
환멸감과	환멸감/NNG + 과/JC
실망으로	실망/NNG + 으로/JKB
뒤집어진	뒤집/VV + 어/EC + 지/VX + ㄴ/ETM
것이	것/NNB + 이/JKS
대체	대체/MAG
몇	몇/MM
번째였단	번/NNB + 째/XSN + 이/VCP + 었/EP + 단/ETM
말인가.	말/NNG + 이/VCP + ㄴ가/EF + ./SF

7·4	7/SN + ·/SP + 4/SN
공동	공동/NNG
성명과	성명/NNG + 과/JC
적십자	적십자/NNP
회담을	회담/NNG + 을/JKO
비롯해,	비롯/XR + 하/XSV + 아/EC + ,/SP
그동안	그동안/NNG
남-북간에는	남/NNG + -/SS + 북/NNG + 간/NNB + 에/JKB + 는/JX
여러	여러/MM
차례	차례/NNG
'흥분할	'/SS + 흥분/NNG + 하/XSV + ㄹ/ETM
만한	만/NNB + 하/XSA + ㄴ/ETM
계기'들이	계기/NNG + '/SS + 들/XSN + 이/JKS
가끔씩	가끔/MAG + 씩/XSN
있어	있/VV + 어/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

그럴	그러/VV + ㄹ/ETM
때마다	때/NNG + 마다/JX
이산가족들과	이산가족/NNG + 들/XSN + 과/JC
모든	모든/MM
국민들은	국민/NNG + 들/XSN + 은/JX
"이번에는	"/SS + 이번/NNG + 에/JKB + 는/JX
혹시…?"하는	혹시/MAG + …/SE + ?/SF + "/SS + 하/VV + 는/ETM

기대를	기대/NNG + 를/JKO
부풀리지	부풀리/VV + 지/EC
않을	않/VX + 을/ETM
수가	수/NNB + 가/JKS
없었다.	없/VA + 었/EP + 다/EF + ./SF

사람이란	사람/NNG + 이란/JX
누구나	누구/NP + 나/JX
지푸라기	지푸라기/NNG
하나라도	하나/NR + 이/VCP + 라도/EC
붙잡고	붙잡/VV + 고/EC
싶어하는	싶/VX + 어/EC + 하/VX + 는/ETM
본능적	본능/NNG + 적/XSN
욕구와	욕구/NNG + 와/JC
유혹에	유혹/NNG + 에/JKB
민감하기	민감/XR + 하/XSA + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
그	그/MM
모든	모든/MM
꿈은	꿈/NNG + 은/JX
번번이	번번이/MAG
산산조각이	산산조각/NNG + 이/JKS
났다.	나/VV + 았/EP + 다/EF + ./SF

세상에	세상/NNG + 에/JKB
그런	그런/MM
잔인한	잔인/NNG + 하/XSA + ㄴ/ETM
일이	일/NNG + 이/JKS
있을	있/VV + 을/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

마치	마치/MAG
그	그/MM
어떤	어떤/MM
괴력을	괴력/NNG + 을/JKO
발휘하는	발휘/NNG + 하/XSV + 는/ETM
조화	조화/NNG
속에서	속/NNG + 에서/JKB
힘없는	힘없/VA + 는/ETM
민초들이	민초/NNG + 들/XSN + 이/JKS
일희일비하면서	일희일비/NNG + 하/XSV + 면서/EC
속절없이	속절없이/MAG
우롱이라도	우롱/NNG + 이/VCP + 라도/EC
당하는	당하/VV + 는/ETM
꼴이	꼴/XSN + 이/JKC
아니고	아니/VCN + 고/EC
무엇인가.	무엇/NP + 이/VCP + ㄴ가/EF + ./SF

대중이란	대중/NNG + 이란/JX
밤낮	밤낮/NNG
이렇게	이렇/VA + 게/EC
무대	무대/NNG
위의	위/NNG + 의/JKG
보람	보람/NNG
없는	없/VA + 는/ETM
엑스트라처럼,	엑스트라/NNG + 처럼/JKB + ,/SP
이리	이리/MAG
당기면	당기/VV + 면/EC
이리	이리/MAG
몰려가고	몰려가/VV + 고/EC
저리	저리/MAG
당기면	당기/VV + 면/EC
저리	저리/MAG
고꾸라지는	고꾸라지/VV + 는/ETM
몫이나	몫/NNG + 이나/JX
맡아야	맡/VV + 아야/EC
하는가.	하/VX + 는가/EF + ./SF

그래서	그래서/MAJ
북한은	북한/NNP + 은/JX
이제	이제/MAG
더	더/MAG
이상이	이상/NNG + 이/JKS
대중의	대중/NNG + 의/JKG
기대를	기대/NNG + 를/JKO
저버리지	저버리/VV + 지/EC
말아야	말/VX + 아야/EC
할	하/VX + ㄹ/ETM
때다.	때/NNG + 이/VCP + 다/EF + ./SF

왜	왜/MAG
소박한	소박/XR + 하/XSA + ㄴ/ETM
민초의	민초/NNG + 의/JKG
꿈을	꿈/NNG + 을/JKO
짓밟아	짓밟/VV + 아/EC
버리려	버리/VX + 려/EC
하는가.	하/VX + 는가/EF + ./SF

아울러	아울러/MAG
우리	우리/NP
정부도	정부/NNG + 도/JX
이제는	이제/NNG + 는/JX
성사	성사/NNG
가능성	가능/NNG + 성/XSN
없는	없/VA + 는/ETM
제의를	제의/NNG + 를/JKO
던져놓고	던지/VV + 어/EC + 놓/VX + 고/EC
공연히	공연히/MAG
국민의	국민/NNG + 의/JKG
실망만	실망/NNG + 만/JX
더	더/MAG
크게	크/VA + 게/EC
만드는	만들/VV + 는/ETM
일은	일/NNG + 은/JX
되풀이하지	되풀이/NNG + 하/XSV + 지/EC
말기	말/VX + 기/ETN
바란다.	바라/VV + ㄴ다/EF + ./SF

당연히	당연히/MAG
해야	하/VV + 아야/EC
할	하/VX + ㄹ/ETM
일을	일/NNG + 을/JKO
꾸준히	꾸준히/MAG
추진하는	추진/NNG + 하/XSV + 는/ETM
것	것/NNB
자체는	자체/NNG + 는/JX
물론	물론/MAG
이해하지만,	이해/NNG + 하/XSV + 지만/EC + ,/SP
그렇다고	그렇/VA + 다고/EC
해서	하/VV + 아서/EC
애꿎은	애꿎/VA + 은/ETM
국민만	국민/NNG + 만/JX
잔뜩	잔뜩/MAG
들뜨게	들뜨/VV + 게/EC
만들어	만들/VV + 어/EC
놓고서,	놓/VX + 고서/EC + ,/SP
그	그/MM
실망의	실망/NNG + 의/JKG
후유증에	후유증/NNG + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
아무런	아무런/MM
배려도	배려/NNG + 도/JX
하지	하/VV + 지/EC
않은	않/VX + 은/ETM
것은	것/NNB + 은/JX
아무래도	아무래도/MAG
되생각해	되생각/NNG + 하/XSV + 아/EC
볼	보/VX + ㄹ/ETM
문제다.	문제/NNG + 이/VCP + 다/EF + ./SF

정부는	정부/NNG + 는/JX
과연	과연/MAG
이번	이번/NNG
방북	방북/NNG
신청	신청/NNG
접수가	접수/NNG + 가/JKS
북의	북/NNG + 의/JKG
거부로	거부/NNG + 로/JKB
무위로	무위/NNG + 로/JKB
돌아갔을	돌아가/VV + 았/EP + 을/ETM
경우의	경우/NNG + 의/JKG
극심한	극심/XR + 하/XSA + ㄴ/ETM
국민적	국민/NNG + 적/XSN
허망감에	허망감/NNG + 에/JKB
대해	대하/VV + 아/EC
응분의	응분/NNG + 의/JKG
책임을	책임/NNG + 을/JKO
질	지/VV + ㄹ/ETM
수	수/NNB
있는가.	있/VV + 는가/EF + ./SF

국민을	국민/NNG + 을/JKO
이토록	이토록/MAG
달아오를	달아오르/VV + ㄹ/ETM
대로	대로/NNB
달아	달/VV + 아/EC
올려놓은	올려놓/VV + 은/ETM
다음에,	다음/NNG + 에/JKB + ,/SP
북의	북/NNG + 의/JKG
트집으로	트집/NNG + 으로/JKB
일이	일/NNG + 이/JKS
성사되지	성사/NNG + 되/XSV + 지/EC
않으면	않/VX + 으면/EC
그저	그저/MAG
"그건	"/SS + 그것/NP + ㄴ/JX
북	북/NNG
때문에	때문/NNB + 에/JKB
그렇지	그렇/VA + 지/EC
됐으니	되/VV + 었/EP + 으니/EC
그리	그리/MAG
알라"고만	알/VV + 라/EC + "/SS + 고/JKQ + 만/JX
말하면	말/NNG + 하/XSV + 면/EC
그만이냐	그만/MAG + 이/VCP + 냐/EC
하는	하/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

될	되/VV + ㄹ/ETM
일이면	일/NNG + 이/VCP + 면/EC
하되,	하/VV + 되/EC + ,/SP
안될	안/MAG + 되/XSV + ㄹ/ETM
일이면	일/NNG + 이/VCP + 면/EC
처음부터	처음/NNG + 부터/JX
국민을	국민/NNG + 을/JKO
너무	너무/MAG
설레게는	설레/VV + 게/EC + 는/JX
만들지	만들/VV + 지/EC
않도록,	않/VX + 도록/EC + ,/SP
신중하고	신중/NNG + 하/XSA + 고/EC
침착한	침착/NNG + 하/XSA + ㄴ/ETM
배려가	배려/NNG + 가/JKS
앞서야	앞서/VV + 어야/EC
할	하/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이제	이제/MAG
두	두/MM
번	번/NNB
다시	다시/MAG
쉽게	쉽/VA + 게/EC
흥분했다가,	흥분/NNG + 하/XSV + 았/EP + 다가/EC + ,/SP
그렇게	그렇/VA + 게/EC
쉽게	쉽/VA + 게/EC
흥분한	흥분/NNG + 하/XSV + ㄴ/ETM
자신의	자신/NNG + 의/JKG
순진함이	순진/XR + 하/XSA + ㅁ/ETN + 이/JKS
오히려	오히려/MAG
부끄럽게	부끄럽/VA + 게/EC
여겨지는	여기/VV + 어/EC + 지/VX + 는/ETM
상태로	상태/NNG + 로/JKB
국민	국민/NNG
대중을	대중/NNG + 을/JKO
이끌어서는	이끌/VV + 어서/EC + 는/JX
안될	안/MAG + 되/XSV + ㄹ/ETM
줄	줄/NNB
안다.	알/VV + ㄴ다/EF + ./SF

통일	통일/NNG
전략	전략/NNG
담당자들의	담당자/NNG + 들/XSN + 의/JKG
각별한	각별/NNG + 하/XSA + ㄴ/ETM
책임	책임/NNG
의식을	의식/NNG + 을/JKO
당부한다.	당부/NNG + 하/XSV + ㄴ다/EF + ./SF

국민	국민/NNG
또한	또한/MAG
냉정함과	냉정/NNG + 하/XSA + ㅁ/ETN + 과/JC
침착성을	침착/NNG + 성/XSN + 을/JKO
견지하는	견지/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
바람직할	바람직/XR + 하/XSA + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이라크의	이라크/NNP + 의/JKG
쿠웨이트	쿠웨이트/NNP
침공으로	침공/NNG + 으로/JKB
고유가	고/XPN + 유가/NNG
시대가	시대/NNG + 가/JKS
예견됨에	예견/NNG + 되/XSV + ㅁ/ETN + 에/JKB
따라	따르/VV + 아/EC
정부와	정부/NNG + 와/JC
경제계에서는	경제/NNG + 계/XSN + 에서/JKB + 는/JX
그	그/MM
대책	대책/NNG
마련에	마련/NNG + 에/JKB
부산하다.	부산/NNG + 하/XSA + 다/EC + ./SF

중동	중동/NNP
사태가	사태/NNG + 가/JKS
장기화될	장기/NNG + 화/XSN + 되/XSV + ㄹ/ETM
전망인데다	전망/NNG + 이/VCP + ㄴ/ETM + 데/NNB + 에/JKB + 다/JX
원유를	원유/NNG + 를/JKO
전부	전부/MAG
수입에	수입/NNG + 에/JKB
의존하고	의존/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
우리의	우리/NP + 의/JKG
입장에서	입장/NNG + 에서/JKB
에너지의	에너지/NNG + 의/JKG
절약	절약/NNG
방안을	방안/NNG + 을/JKO
마련하는	마련/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
당연한	당연/XR + 하/XSA + ㄴ/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
에너지	에너지/NNG
절약의	절약/NNG + 의/JKG
방법이	방법/NNG + 이/JKS
유치하고	유치/XR + 하/XSA + 고/EC
효과를	효과/NNG + 를/JKO
별로	별로/MAG
기대할	기대/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
대책은	대책/NNG + 은/JX
처음부터	처음/NNG + 부터/JX
거론을	거론/NNG + 을/JKO
하지	하/VV + 지/EC
말아야	말/VX + 아야/EC
하겠다.	하/VX + 겠/EP + 다/EF + ./SF

총무처	총무처/NNG
주관으로	주관/NNG + 으로/JKB
정부	정부/NNG
각	각/MM
부처와	부처/NNP + 와/JC
정부	정부/NNG
투자	투자/NNG
기관	기관/NNG
및	및/MAG
출연-보조기관을	출연/NNG + -/SS + 보조/NNG + 기관/NNG + 을/JKO
대상으로	대상/NNG + 으로/JKB
마련된	마련/NNG + 되/XSV + ㄴ/ETM
에너지	에너지/NNG
절약지침	절약/NNG + 지침/NNG
내용을	내용/NNG + 을/JKO
보아도	보/VV + 아도/EC
과거의	과거/NNG + 의/JKG
발상에서	발상/NNG + 에서/JKB
벗어나지	벗어나/VV + 지/EC
못하고	못하/VX + 고/EC
있는	있/VX + 는/ETM
느낌을	느낌/NNG + 을/JKO
받는다.	받/VV + 는다/EF + ./SF

각	각/MM
부처와	부처/NNG + 와/JC
기관에	기관/NNG + 에/JKB
시달된	시달/NNG + 되/XSV + ㄴ/ETM
지침에	지침/NNG + 에/JKB
따르면	따르/VV + 면/EC
승강기는	승강기/NNG + 는/JX
격층만	격층/NNG + 만/JX
운행토록	운행/NNG + 하/XSV + 도록/EC
하고,	하/VX + 고/EC + ,/SP
낮에는	낮/NNG + 에/JKB + 는/JX
사무실	사무실/NNG
조명을	조명/NNG + 을/JKO
최대한	최대한/NNG
억제한다는	억제/NNG + 하/XSV + ㄴ다는/ETM
내용이다.	내용/NNG + 이/VCP + 다/EF + ./SF

또한	또한/MAG
실내	실내/NNG
온도를	온도/NNG + 를/JKO
여름에는	여름/NNG + 에/JKB + 는/JX
26도로,	26/SN + 도/NNB + 로/JKB + ,/SP
겨울에는	겨울/NNG + 에/JKB + 는/JX
22도로	22/SN + 도/NNB + 로/JKB
유지토록	유지/NNG + 하/XSV + 도록/EC
하고	하/VX + 고/EC
점심	점심/NNG
시간과	시간/NNG + 과/JC
퇴근	퇴근/NNG
1시간	1/SN + 시간/NNB
전에는	전/NNG + 에/JKB + 는/JX
보일러나	보일러/NNG + 나/JC
냉동기	냉동기/NNG
가동을	가동/NNG + 을/JKO
억제토록	억제/NNG + 하/XSV + 도록/EC
한다는	하/VX + ㄴ다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

승강기나	승강기/NNG + 나/JC
냉온방시설	냉온방/NNG + 시설/NNG
등은	등/NNB + 은/JX
현대식	현대식/NNG
대규모	대/XPN + 규모/NNG
빌딩에는	빌딩/NNG + 에/JKB + 는/JX
필수적인	필수/NNG + 적/XSN + 이/VCP + ㄴ/ETM
편의	편의/NNG
시설이다.	시설/NNG + 이/VCP + 다/EF + ./SF

실내	실내/NNG
조명도	조명/NNG + 도/JX
자연	자연/NNG
채광만으로는	채광/NNG + 만/JX + 으로/JKB + 는/JX
근무를	근무/NNG + 를/JKO
할	하/VV + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
특수성	특수/NNG + 성/XSN
때문에	때문/NNB + 에/JKB
필요한	필요/NNG + 하/XSA + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
필수적인	필수/NNG + 적/XSN + 이/VCP + ㄴ/ETM
편의	편의/NNG
시설을	시설/NNG + 을/JKO
절약이라는	절약/NNG + 이/VCP + 라는/ETM
이유를	이유/NNG + 를/JKO
내세워	내세우/VV + 어/EC
가동을	가동/NNG + 을/JKO
제한한다는	제한/NNG + 하/XSV + ㄴ다는/ETM
것은	것/NNB + 은/JX
오히려	오히려/MAG
역효과를	역효과/NNG + 를/JKO
낼	내/VV + ㄹ/ETM
수도	수/NNB + 도/JX
있다는	있/VV + 다는/ETM
것은	것/NNB + 은/JX
오히려	오히려/MAG
역효과를	역효과/NNG + 를/JKO
