서울	서울/NNP

박정애	박정애/NNP
씨(24)는	씨/NNB + (/SS + 24/SN + )/SS + 는/JX
연변	연변/NNP
교포	교포/NNG
중	중/NNB
유일하게	유일/NNG + 하/XSA + 게/EC
미용	미용/NNG
분야를	분야/NNG + 를/JKO
지원했다."	지원/NNG + 하/XSV + 았/EP + 다/EF + ./SF + "/SS

피부	피부/NNG
미용을	미용/NNG + 을/JKO
집중적으로	집중/NNG + 적/XSN + 으로/JKB
배우고	배우/VV + 고/EC
싶습니다.	싶/VX + 습니다/EF + ./SF

연변은	연변/NNP + 은/JX
바람이	바람/NNG + 이/JKS
세고	세/VA + 고/EC
햇빛도	햇빛/NNG + 도/JX
강해	강하/VV + 아/EC
피부	피부/NNG
미용에	미용/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
여성들의	여성/NNG + 들/XSN + 의/JKG
관심이	관심/NNG + 이/JKS
높거든요.	높/VA + 거든요/EF + ./SF

"	"/SS
연변에서도	연변/NNP + 에서/JKB + 도/JX
머리를	머리/NNG + 를/JKO
만지는	만지/VV + 는/ETM
곳과	곳/NNG + 과/JC
마사지-화장을	마사지/NNG + -/SS + 화장/NNG + 을/JKO
해	하/VV + 아/EC
주는	주/VX + 는/ETM
곳이	곳/NNG + 이/JKS
명확히	명확히/MAG
구분된다고	구분/NNG + 되/XSV + ㄴ다고/EC
말하는	말/NNG + 하/XSV + 는/ETM
그는	그/NP + 는/JX
돌아가는	돌아가/VV + 는/ETM
대로	대로/NNB
자신의	자신/NNG + 의/JKG
가게를	가게/NNG + 를/JKO
여는	열/VV + 는/ETM
것이	것/NNB + 이/JKS
꿈이라고	꿈/NNG + 이/VCP + 라고/EC
한다.	하/VV + ㄴ다/EF + ./SF

"품질에	"/SS + 품질/NNG + 에/JKB
따라	따르/VV + 아/EC
가격에	가격/NNG + 에/JKB
차별을	차별/NNG + 을/JKO
두는	두/VV + 는/ETM
등급표시	등급/NNG + 표시/NNG
판매제를	판매/NNG + 제/XSN + 를/JKO
식품에	식품/NNG + 에/JKB
적극	적극/NNG
도입해야	도입/NNG + 하/XSV + 아야/EC
합니다.	하/VX + ㅂ니다/EF + ./SF

그래야만	그렇/VA + 어야/EC + 만/JX
소비자들이	소비자/NNG + 들/XSN + 이/JKS
원하는	원하/VV + 는/ETM
상품을	상품/NNG + 을/JKO
적당한	적당/XR + 하/XSA + ㄴ/ETM
가격에	가격/NNG + 에/JKB
맞게	맞/VV + 게/EC
구입할	구입/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있지요.	있/VV + 지요/EF + ./SF

"	"/SS
국내에서	국내/NNG + 에서/JKB
유통되는	유통/NNG + 되/XSV + 는/ETM
육류-수산물-채소류-곡류	육/NNG + 류/XSN + -/SS + 수산물/NNG + -/SS + 채소/NNG + 류/XSN + -/SS + 곡류/NNG
등	등/NNB
각종	각종/NNG
식품의	식품/NNG + 의/JKG
종류	종류/NNG
및	및/MAG
고르는	고르/VV + 는/ETM
법을	법/NNG + 을/JKO
체계화한	체계/NNG + 화/XSN + 하/XSV + ㄴ/ETM
'식품	'/SS + 식품/NNG
구매'(수학사	구매/NNG + '/SS + (/SS + 수학사/NNG
간)를	간/NNG + )/SS + 를/JKO
펴낸	펴내/VV + ㄴ/ETM
연세대	연세대/NNP
식품영양학과	식품/NNG + 영양학/NNG + 과/NNG
양일선	양일선/NNP
교수(42)는	교수/NNG + (/SS + 42/SN + )/SS + 는/JX
"쇠고기	"/SS + 쇠고기/NNG
닭고기는	닭고기/NNG + 는/JX
물론,	물론/MAG + ,/SP
계란에도	계란/NNG + 에/JKB + 도/JX
등급표시	등급/NNG + 표시/NNG
판매제를	판매/NNG + 제/XSN + 를/JKO
시행해야	시행/NNG + 하/XSV + 아야/EC
한다"고	하/VX + ㄴ다/EC + "/SS + 고/JKQ
강조한다.	강조/NNG + 하/XSV + ㄴ다/EF + ./SF

그의	그/NP + 의/JKG
저서	저서/NNG
'식품	'/SS + 식품/NNG
구매'는	구매/NNG + '/SS + 는/JX
기관에서	기관/NNG + 에서/JKB
단체	단체/NNG
급식을	급식/NNG + 을/JKO
맡고	맡/VV + 고/EC
있는	있/VX + 는/ETM
영양사	영양사/NNG
등을	등/NNB + 을/JKO
위한	위하/VV + ㄴ/ETM
전문	전문/NNG
서적.	서적/NNG + ./SF

그러나	그러나/MAJ
좋은	좋/VA + 은/ETM
선택법과	선택법/NNG + 과/JC
보관기간	보관/NNG + 기간/NNG
등	등/NNB
식품에	식품/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
정보가	정보/NNG + 가/JKS
절반	절반/NNG
이상을	이상/NNG + 을/JKO
차지하고	차지/NNG + 하/XSV + 고/EC
있어,	있/VX + 어/EC + ,/SP
일반	일반/NNG
소비자들도	소비자/NNG + 들/XSN + 도/JX
장을	장/NNG + 을/JKO
보러	보/VV + 러/EC
가기	가/VX + 기/ETN
전에	전/NNG + 에/JKB
참고할	참고/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
전문	전문/NNG
서적	서적/NNG
구실도	구실/NNG + 도/JX
한다.	하/VV + ㄴ다/EF + ./SF

"식품을	"/SS + 식품/NNG + 을/JKO
사는	사/VV + 는/ETM
데	데/NNB
중요한	중요/NNG + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
철저한	철저/NNG + 하/XSA + ㄴ/ETM
사전	사전/NNG
계획입니다.	계획/NNG + 이/VCP + ㅂ니다/EF + ./SF

우리는	우리/NP + 는/JX
'오늘	'/SS + 오늘/NNG
저녁에는	저녁/NNG + 에/JKB + 는/JX
뭘	뭐/NP + ㄹ/JKO
해	하/VV + 아/EC
먹을까'하는	먹/VV + 을까/EC + '/SS + 하/VV + 는/ETM
식의	식/NNB + 의/JKG
충동	충동/NNG
구매가	구매/NNG + 가/JKS
너무	너무/MAG
많아	많/VA + 아/EC
문제이지요."	문제/NNG + 이/VCP + 지요/EF + ./SF + "/SS

량	량/NNP
교수는	교수/NNG + 는/JX
이	이/MM
때문에	때문/NNB + 에/JKB
매일	매일/MAG
같이	같이/MAG
장	장/NNG
보러	보/VV + 러/EC
가는	가/VX + 는/ETM
주부들은	주부/NNG + 들/XSN + 은/JX
물론	물론/MAG
하루에도	하루/NNG + 에/JKB + 도/JX
두어	두어/MM
차례	차례/NNG
인근	인근/NNG
슈퍼에	슈퍼/NNG + 에/JKB
가는	가/VV + 는/ETM
낭비가	낭비/NNG + 가/JKS
생긴다고	생기/VV + ㄴ다고/EC
지적한다.	지적/NNG + 하/XSV + ㄴ다/EF + ./SF

그는	그/NP + 는/JX
1주일에	1/SN + 주일/NNB + 에/JKB
한	한/MM
번씩	번/NNB + 씩/XSN
식단을	식단/NNG + 을/JKO
짜서	짜/VV + 아서/EC
여기에	여기/NP + 에/JKB
맞추어	맞추/VV + 어/EC
장보기를	장보기/NNG + 를/JKO
하는	하/VV + 는/ETM
것이	것/NNB + 이/JKS
경제적이라고	경제/NNG + 적/XSN + 이/VCP + 라고/EC
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

량교수는	량/NNP + 교수/NNG + 는/JX
73년	73/SN + 년/NNB
연세대	연세대/NNP
식품영양학과를	식품/NNG + 영양학/NNG + 과/NNG + 를/JKO
졸업하고	졸업/NNG + 하/XSV + 고/EC
미	미/NNP
일리노이주립대	일리노이주립대/NNP
학생식당에서	학생/NNG + 식당/NNG + 에서/JKB
2년간	2/SN + 년/NNB + 간/NNG
관리자로	관리자/NNG + 로/JKB
현장	현장/NNG
경험을	경험/NNG + 을/JKO
쌓았으며,	쌓/VV + 았/EP + 으며/EC + ,/SP
아이오와	아이오와/NNP
주립대	주립대/NNG
급식영양학과에서	급식/NNG + 영양/NNG + 학과/NNG + 에서/JKB
박사	박사/NNG
학위를	학위/NNG + 를/JKO
마친	마치/VV + ㄴ/ETM
급식	급식/NNG
전문가.	전문가/NNG + ./SF

"식품에	"/SS + 식품/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
정보를	정보/NNG + 를/JKO
많이	많이/MAG
알아야	알/VV + 아야/EC
가족의	가족/NNG + 의/JKG
영양을	영양/NNG + 을/JKO
잘	잘/MAG
관리할	관리/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다"고	있/VV + 다/EC + "/SS + 고/JKQ
강조한	강조/NNG + 하/XSV + ㄴ/ETM
그는	그/NP + 는/JX
기회가	기회/NNG + 가/JKC
되면	되/VV + 면/EC
전문가용인	전문가/NNG + 용/XSN + 이/VCP + ㄴ/ETM
'식품	'/SS + 식품/NNG
구매'를	구매/NNG + '/SS + 를/JKO
쉽게	쉽/VA + 게/EC
풀어	풀/VV + 어/EC
일반인을	일반인/NNG + 을/JKO
위한	위하/VV + ㄴ/ETM
서적을	서적/NNG + 을/JKO
내겠다고	내/VV + 겠/EP + 다고/EC
밝혔다.	밝히/VV + 었/EP + 다/EF + ./SF

식품에	식품/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
정보가	정보/NNG + 가/JKS
많아야	많/VA + 아야/EC
현명한	현명/NNG + 하/XSA + ㄴ/ETM
소비를	소비/NNG + 를/JKO
할	하/VV + ㄹ/ETM
수	수/NNB
있다	있/VV + 다/EC
량교수는	량/NNP + 교수/NNG + 는/JX
'식품	'/SS + 식품/NNG
구매'에서	구매/NNG + '/SS + 에서/JKB
식품	식품/NNG
재료의	재료/NNG + 의/JKG
종류와	종류/NNG + 와/JC
특성에	특성/NNG + 에/JKB
따른	따르/VV + ㄴ/ETM
상품	상품/NNG
선별법을	선별/NNG + 법/NNG + 을/JKO
밝히고	밝히/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

책	책/NNG
중에서	중/NNB + 에서/JKB
주요	주요/NNG
식품의	식품/NNG + 의/JKG
특징과	특징/NNG + 과/JC
선택	선택/NNG
기준을	기준/NNG + 을/JKO
소개한다.	소개/NNG + 하/XSV + ㄴ다/EF + ./SF

육질	육질/NNG
등급은	등급/NNG + 은/JX
근내	근/NNG + 내/NNB
지방도(일명	지방도/NNG + (/SS + 일명/NNG
상강도)와	상강도/NNG + )/SS + 와/JC
고기-지방의	고기/NNG + -/SS + 지방/NNG + 의/JKG
색,	색/NNG + ,/SP
조직감,	조직감/NNG + ,/SP
성숙도에	성숙도/NNG + 에/JKB
의해	의하/VV + 아/EC
판정된다.	판정/NNG + 되/XSV + ㄴ다/EF + ./SF

상강도는	상강도/NNG + 는/JX
살코기	살코기/NNG
속에	속/NNG + 에/JKB
지방이	지방/NNG + 이/JKS
흩어져	흩어지/VV + 어/EC
있는	있/VX + 는/ETM
정도로,	정도/NNG + 로/JKB + ,/SP
골고루	골고루/MAG
분포될	분포/NNG + 되/XSV + ㄹ/ETM
수록	수록/EC
좋다.	좋/VA + 다/EF + ./SF

육색은	육색/NNG + 은/JX
선홍색일수록	선홍색/NNG + 이/VCP + ㄹ수록/EC
연한	연하/VA + ㄴ/ETM
어린	어리/VA + ㄴ/ETM
쇠고기일	쇠고기/NNG + 이/VCP + ㄹ/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
높다.	높/VA + 다/EF + ./SF

약간	약간/MAG
암적색을	암적색/NNG + 을/JKO
띠어도	띠/VV + 어도/EC
절단면의	절단면/NNG + 의/JKG
색이	색/NNG + 이/JKS
밝고	밝/VA + 고/EC
윤기가	윤기/NNG + 가/JKS
나면	나/VV + 면/EC
구입해도	구입/NNG + 하/XSV + 아도/EC
좋다.	좋/VA + 다/EF + ./SF

그러나	그러나/MAJ
표면이	표면/NNG + 이/JKS
너무	너무/MAG
검고	검/VA + 고/EC
끈적끈적하고	끈적끈적/MAG + 하/XSV + 고/EC
녹색을	녹색/NNG + 을/JKO
띠면	띠/VV + 면/EC
좋지	좋/VA + 지/EC
않다.	않/VX + 다/EF + ./SF

지방색은	지방색/NNG + 은/JX
흰색-연노랑색이	흰색/NNG + -/SS + 연노랑/NNG + 색/NNG + 이/JKS
정상이다.	정상/NNG + 이/VCP + 다/EF + ./SF

진한	진하/VA + ㄴ/ETM
노란	노랗/VA + ㄴ/ETM
색은	색/NNG + 은/JX
고기가	고기/NNG + 가/JKS
질기거나	질기/VA + 거나/EC
풋내가	풋/XPN + 내/NNG + 가/JKS
나기	나/VV + 기/ETN
쉽다.	쉽/VA + 다/EF + ./SF

살코기와	살코기/NNG + 와/JC
지방층이	지방/NNG + 층/XSN + 이/JKS
고르게	고르/VA + 게/EC
발달하고,	발달/NNG + 하/XSV + 고/EC + ,/SP
솜털이	솜털/NNG + 이/JKS
없고,	없/VA + 고/EC + ,/SP
살코기에	살코기/NNG + 에/JKB
벤	베/VV + ㄴ/ETM
자국이나	자국/NNG + 이나/JC
찢어진	찢어지/VV + ㄴ/ETM
상처로	상처/NNG + 로/JKB
인한	인하/VV + ㄴ/ETM
흠집이	흠집/NNG + 이/JKS
없어야	없/VA + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

다리나	다리/NNG + 나/JC
가슴	가슴/NNG
역시	역시/MAG
흠집이	흠집/NNG + 이/JKS
없고	없/VA + 고/EC
뼈가	뼈/NNG + 가/JKS
부러지지	부러지/VV + 지/EC
않으며	않/VX + 으며/EC
살이나	살/NNG + 이나/JC
껍질에	껍질/NNG + 에/JKB
멍이나	멍/NNG + 이나/JC
핏덩어리로	핏덩어리/NNG + 로/JKB
인한	인하/VV + ㄴ/ETM
변색이	변색/NNG + 이/JKS
없는지	없/VA + 는지/EC
살펴봐야	살펴보/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

머리부터	머리/NNG + 부터/JX
부패가	부패/NNG + 가/JKS
시작된다.	시작/NNG + 되/XSV + ㄴ다/EF + ./SF

생선을	생선/NNG + 을/JKO
고를	고르/VV + ㄹ/ETM
때는	때/NNG + 는/JX
머리를	머리/NNG + 를/JKO
먼저	먼저/MAG
보며,	보/VV + 며/EC + ,/SP
비린내가	비린내/NNG + 가/JKS
매우	매우/MAG
심하면	심하/VA + 면/EC
상한	상하/VV + ㄴ/ETM
것이기	것/NNB + 이/VCP + 기/ETN
쉽다.	쉽/VA + 다/EF + ./SF

눈은	눈/NNG + 은/JX
산	살/VV + ㄴ/ETM
것처럼	것/NNB + 처럼/JKB
보이고	보이/VV + 고/EC
밝으며	밝/VA + 으며/EC
투명할수록	투명/NNG + 하/XSA + ㄹ수록/EC
좋다.	좋/VA + 다/EF + ./SF

회색	회색/NNG
빛을	빛/NNG + 을/JKO
띠거나	띠/VV + 거나/EC
안	안/NNG
쪽으로	쪽/NNB + 으로/JKB
꺼져서는	꺼지/VV + 어서/EC + 는/JX
안	안/MAG
된다.	되/VV + ㄴ다/EF + ./SF

아가미를	아가미/NNG + 를/JKO
들추어	들추/VV + 어/EC
밝은	밝/VA + 은/ETM
분홍이나	분홍/NNG + 이나/JC
붉은	붉/VA + 은/ETM
색인지를	색/NNG + 이/VCP + ㄴ지/EC + 를/JKO
확인해야	확인/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

검정에	검정/NNG + 에/JKB
가까울	가깝/VA + ㄹ/ETM
수록	수록/EC
상한	상하/VV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

지느러미나	지느러미/NNG + 나/JC
꼬리는	꼬리/NNG + 는/JX
손상을	손상/NNG + 을/JKO
입지	입/VV + 지/EC
않아야	않/VX + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

배추는	배추/NNG + 는/JX
잎의	잎/NNG + 의/JKG
수가	수/NNG + 가/JKS
많고	많/VA + 고/EC
껍질이	껍질/NNG + 이/JKS
얇고	얇/VA + 고/EC
단단하고	단단/XR + 하/XSA + 고/EC
잎이	잎/NNG + 이/JKS
안으로	안/NNG + 으로/JKB
밀착돼	밀착/NNG + 되/XSV + 어/EC
있는	있/VX + 는/ETM
것일수록	것/NNB + 이/VCP + ㄹ수록/EC
좋다.	좋/VA + 다/EF + ./SF

햇배추는	햇배추/NNG + 는/JX
클수록	크/VA + ㄹ수록/EC
상품이고,	상품/NNG + 이/VCP + 고/EC + ,/SP
가을	가을/NNG
배추는	배추/NNG + 는/JX
크기보다	크기/NNG + 보다/JKB
속이	속/NNG + 이/JKS
꽉	꽉/MAG
차	차/VV + 아/EC
무게가	무게/NNG + 가/JKS
많이	많이/MAG
나가야	나가/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

스물여섯	스물여섯/NR
동갑내기	동갑내기/NNG
셋과	셋/NR + 과/JC
한살	한/MM + 살/NNB
많은	많/VA + 은/ETM
'언니'가	'/SS + 언니/NNG + '/SS + 가/JKS
모여	모이/VV + 어/EC
여행	여행/NNG
체험을	체험/NNG + 을/JKO
기업화할	기업/NNG + 화/XSN + 하/XSV + ㄹ/ETM
모임을	모임/NNG + 을/JKO
만들어	만들/VV + 어/EC
'20대들의	'/SS + 20/SN + 대/NNB + 들/XSN + 의/JKG
회사'를	회사/NNG + '/SS + 를/JKO
준비중이다.	준비/NNG + 중/NNB + 이/VCP + 다/EF + ./SF

한	한/MM
잡지사	잡지사/NNG
여행사업단에서	여행/NNG + 사업단/NNG + 에서/JKB
일하던	일/NNG + 하/XSV + 던/ETM
이들은	이/NP + 들/XSN + 은/JX
회사에서	회사/NNG + 에서/JKB
이	이/MM
업무가	업무/NNG + 가/JKS
없어지자	없/VA + 어/EC + 지/VX + 자/EC
아예	아예/MAG
회사를	회사/NNG + 를/JKO
나와	나오/VV + 아/EC
자기들끼리	자기/NP + 들/XSN + 끼리/XSN
여행	여행/NNG
동호인회를	동호인회/NNG + 를/JKO
결성,	결성/NNG + ,/SP
그	그/MM
준비의	준비/NNG + 의/JKG
첫	첫/MM
발을	발/NNG + 을/JKO
내디뎠다.	내디디/VV + 었/EP + 다/EF + ./SF

'누리	'/SS + 누리/NNG
앎'이란	앎/NNG + '/SS + 이란/JX
이름이	이름/NNG + 이/JKS
말하듯,	말/NNG + 하/XSV + 듯/EC + ,/SP
이	이/MM
모임은	모임/NNG + 은/JX
우리	우리/NP
나라	나라/NNG
구석구석,	구석구석/NNG + ,/SP
역사와	역사/NNG + 와/JC
사연을	사연/NNG + 을/JKO
지닌	지니/VV + ㄴ/ETM
땅의	땅/NNG + 의/JKG
숨결을	숨결/NNG + 을/JKO
찾자는	찾/VV + 자는/ETM
것.	것/NNB + ./SF

'단장'인	'/SS + 단장/NNG + '/SS + 이/VCP + ㄴ/ETM
이혜림씨는	이혜림/NNP + 씨/NNB + 는/JX
강원도	강원도/NNP
출신으로	출신/NNG + 으로/JKB
대구	대구/NNP
효성여대를	효성여대/NNP + 를/JKO
나왔고	나오/VV + 았/EP + 고/EC
스물여섯	스물여섯/NR
동갑내기	동갑내기/NNG
정혜욱	정혜욱/NNP
정경아	정경아/NNP
이미숙씨는	이미숙/NNP + 씨/NNB + 는/JX
서울,	서울/NNP + ,/SP
부산,	부산/NNP + ,/SP
충남	충남/NNP
보령이	보령/NNP + 이/JKS
고향으로	고향/NNG + 으로/JKB
인천과	인천/NNP + 과/JC
서울서	서울/NNP + 서/JKB
대학을	대학/NNG + 을/JKO
다녔다.	다니/VV + 었/EP + 다/EF + ./SF

"전국	"/SS + 전국/NNG
각곳에서	각/MM + 곳/NNG + 에서/JKB
왔기	오/VV + 았/EP + 기/ETN
때문에	때문/NNB + 에/JKB
여행	여행/NNG
프로그램	프로그램/NNG
짜기가	짜/VV + 기/ETN + 가/JKS
훨씬	훨씬/MAG
더	더/MAG
재미있다"고	재미있/VA + 다/EC + "/SS + 고/JKQ
입을	입/NNG + 을/JKO
모은다.	모으/VV + ㄴ다/EF + ./SF

"내년	"/SS + 내년/NNG
쯤	쯤/NNG
법인	법인/NNG
등록을	등록/NNG + 을/JKO
해서	하/VV + 아서/EC
여행사를	여행사/NNG + 를/JKO
차릴	차리/VV + ㄹ/ETM
예정입니다.	예정/NNG + 이/VCP + ㅂ니다/EF + ./SF

우리	우리/NP
중	중/NNB
셋이나	셋/NR + 이나/JX
미술-의상을	미술/NNG + -/SS + 의상/NNG + 을/JKO
전공했으니	전공/NNG + 하/XSV + 았/EP + 으니/EC
전통을	전통/NNG + 을/JKO
살린	살리/VV + ㄴ/ETM
생활용품	생활/NNG + 용품/NNG
공방을	공방/NNG + 을/JKO
만들어	만들/VV + 어/EC
관광	관광/NNG
상품도	상품/NNG + 도/JX
만들	만들/VV + ㄹ/ETM
생각입니다.	생각/NNG + 이/VCP + ㅂ니다/EF + ./SF

우선	우선/MAG
첫	첫/MM
사업은	사업/NNG + 은/JX
내년	내년/NNG
1월까지	1/SN + 월/NNB + 까지/JX
한	한/MM
달에	달/NNG + 에/JKB
두	두/MM
번씩	번/NNB + 씩/XSN
주제를	주제/NNG + 를/JKO
정해	정하/VV + 아/EC
전국	전국/NNG
곳곳을	곳곳/NNG + 을/JKO
다닐	다니/VV + ㄹ/ETM
것입니다."	것/NNB + 이/VCP + ㅂ니다/EF + ./SF + "/SS

우선	우선/MAG
여행을	여행/NNG + 을/JKO
좋아하는	좋아하/VV + 는/ETM
사람들로	사람/NNG + 들/XSN + 로/JKB
동호인	동호인/NNG
모임을	모임/NNG + 을/JKO
만들어	만들/VV + 어/EC
전국의	전국/NNG + 의/JKG
'역사	'/SS + 역사/NNG
문화'현장을	문화/NNG + '/SS + 현장/NNG + 을/JKO
찾아다닐	찾아다니/VV + ㄹ/ETM
생각이다.	생각/NNG + 이/VCP + 다/EF + ./SF

이	이/MM
일을	일/NNG + 을/JKO
하기	하/VV + 기/ETN
위해	위하/VV + 아/EC
사무실도	사무실/NNG + 도/JX
열었다.	열/VV + 었/EP + 다/EF + ./SF

네	네/MM
사람이	사람/NNG + 이/JKS
7백만원씩	7/SN + 백만/NR + 원/NNB + 씩/XSN
출자해서	출자/NNG + 하/XSV + 아서/EC
서울	서울/NNP
종로구	종로구/NNP
인사동에	인사동/NNP + 에/JKB
사무실을	사무실/NNG + 을/JKO
얻고	얻/VV + 고/EC
컴퓨터를	컴퓨터/NNG + 를/JKO
들여	들이/VV + 어/EC
놓았다.	놓/VX + 았/EP + 다/EF + ./SF

전에	전/NNG + 에/JKB
일하던	일/NNG + 하/XSV + 던/ETM
회사	회사/NNG
사장이	사장/NNG + 이/JKS
이들에게	이/NP + 들/XSN + 에게/JKB
책상과	책상/NNG + 과/JC
냉장고를	냉장고/NNG + 를/JKO
주었고	주/VV + 었/EP + 고/EC
다른	다른/MM
사무용품들은	사무/NNG + 용품/NNG + 들/XSN + 은/JX
각자	각자/MAG
집에서	집/NNG + 에서/JKB
쓰던	쓰/VV + 던/ETM
것을	것/NNB + 을/JKO
다	다/MAG
긁어	긁/VV + 어/EC
모아	모으/VV + 아/EC
온	오/VX + ㄴ/ETM
터라	터/NNB + 이/VCP + 라/EC
"특별히	"/SS + 특별히/MAG
돈	돈/NNG
들어갈	들어가/VV + ㄹ/ETM
일이	일/NNG + 이/JKS
적었다"고	적/VA + 었/EP + 다/EC + "/SS + 고/JKQ
이들은	이/NP + 들/XSN + 은/JX
순조로운	순조/NNG + 롭/XSA + ㄴ/ETM
첫	첫/MM
출발에	출발/NNG + 에/JKB
신나	신/NNG + 나/VV + 아/EC
있다.	있/VX + 다/EF + ./SF

"다시	"/SS + 다시/MAG
취직할까	취직/NNG + 하/XSV + ㄹ까/EC
생각했다가	생각/NNG + 하/XSV + 았/EP + 다가/EC
내	나/NP + 의/JKG
일을	일/NNG + 을/JKO
한	한/MM
번	번/NNB
해	하/VV + 아/EC
보고	보/VX + 고/EC
싶었다"고	싶/VX + 었/EP + 다/EC + "/SS + 고/JKQ
말하는	말/NNG + 하/XSV + 는/ETM
정혜욱씨는	정혜욱/NNP + 씨/NNB + 는/JX
회사를	회사/NNG + 를/JKO
그만두고	그만두/VV + 고/EC
42일	42/SN + 일/NNB
동안	동안/NNG
유럽	유럽/NNP
배낭여행을	배낭여행/NNG + 을/JKO
다녀와서	다녀오/VV + 아서/EC
'우리	'/SS + 우리/NP
땅을	땅/NNG + 을/JKO
찾아	찾/VV + 아/EC
다니는	다니/VV + 는/ETM
일'을	일/NNG + '/SS + 을/JKO
생각해냈다.	생각/NNG + 하/XSV + 아/EC + 내/VX + 었/EP + 다/EF + ./SF

교육학과를	교육학/NNG + 과/NNG + 를/JKO
나와	나오/VV + 아/EC
광고회사에서	광고/NNG + 회사/NNG + 에서/JKB
일한	일/NNG + 하/XSV + ㄴ/ETM
경력이	경력/NNG + 이/JKS
있는	있/VV + 는/ETM
이혜림씨가	이혜림/NNP + 씨/NNB + 가/JKS
모임	모임/NNG
운영을	운영/NNG + 을/JKO
맡고,	맡/VV + 고/EC + ,/SP
이미숙씨는	이미숙/NNP + 씨/NNB + 는/JX
회원	회원/NNG
관리를	관리/NNG + 를/JKO
맡았다.	맡/VV + 았/EP + 다/EF + ./SF

국민대	국민대/NNP
의생활과를	의생활/NNG + 과/NNG + 를/JKO
나와	나오/VV + 아/EC
생활	생활/NNG
문화	문화/NNG
운동모임인	운동/NNG + 모임/NNG + 이/VCP + ㄴ/ETM
'질경이'에서	'/SS + 질경이/NNG + '/SS + 에서/JKB
전통옷을	전통/NNG + 옷/NNG + 을/JKO
요즘	요즘/NNG
입을	입/VV + 을/ETM
수	수/NNB
있는	있/VV + 는/ETM
생활옷으로	생활/NNG + 옷/NNG + 으로/JKB
재현하는	재현/NNG + 하/XSV + 는/ETM
일을	일/NNG + 을/JKO
했던	하/VV + 았/EP + 던/ETM
정경아씨는	정경아/NNP + 씨/NNB + 는/JX
"우리	"/SS + 우리/NP
문화를	문화/NNG + 를/JKO
알면	알/VV + 면/EC
알수록	알/VV + ㄹ수록/EC
현재에	현재/NNG + 에/JKB
되살리고	되살리/VV + 고/EC
싶은	싶/VX + 은/ETM
일이	일/NNG + 이/JKS
많다"며	많/VA + 다/EC + "/SS + 며/EC
앞으로	앞/NNG + 으로/JKB
누리앎에서	누리앎/NNP + 에서/JKB
생활용품	생활/NNG + 용품/NNG
공방과	공방/NNG + 과/JC
전시장	전시장/NNG
일을	일/NNG + 을/JKO
하겠다고	하/VV + 겠/EP + 다고/EC
큰	크/VA + ㄴ/ETM
뜻을	뜻/NNG + 을/JKO
펴	펴/VV + 어/EC
보인다.	보이/VV + ㄴ다/EF + ./SF

이들은	이/NP + 들/XSN + 은/JX
이달말	이달/NNG + 말/NNB
해남	해남/NNP
대둔사와	대둔사/NNP + 와/JC
녹우당	녹우당/NNP
등	등/NNB
전남	전남/NNP
해남	해남/NNP
여행을	여행/NNG + 을/JKO
시작으로	시작/NNG + 으로/JKB
9월에는	9/SN + 월/NNB + 에/JKB + 는/JX
전남	전남/NNP
순천	순천/NNP
일대,	일대/NNG + ,/SP
지리산을	지리산/NNP + 을/JKO
다녀올	다녀오/VV + ㄹ/ETM
생각.	생각/NNG + ./SF

내년	내년/NNG
1월	1/SN + 월/NNB
불국사와	불국사/NNP + 와/JC
석굴암,	석굴암/NNP + ,/SP
감은사	감은사/NNP
등	등/NNB
경주	경주/NNP
일대	일대/NNG
여행까지	여행/NNG + 까지/JX
모두	모두/MAG
10번의	10/SN + 번/NNB + 의/JKG
여행	여행/NNG
스케줄을	스케줄/NNG + 을/JKO
짜놓고	짜/VV + 아/EC + 놓/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

02(735)9861.	02/SN + (/SS + 735/SN + )/SS + 9861/SN + ./SF

연꽃이	연꽃/NNG + 이/JKS
소담스럽게	소담/XR + 스럽/XSA + 게/EC
피는	피/VV + 는/ETM
계절이다.	계절/NNG + 이/VCP + 다/EF + ./SF

불교의	불교/NNG + 의/JKG
자비를	자비/NNG + 를/JKO
상징하는	상징/NNG + 하/XSV + 는/ETM
이	이/MM
